Main ^jjb+atrb+++=MAIN
Conclusions ^nns++++=CONCLUSIONS:
: ^zz++++=EXTRAWORD
Understanding ^nvbg+++xvbg+=Understanding
governmental ^jj++++=governmental
strategies ^vbz+++??+=strategies
implemented ^vbd+++xvbn+=implemented
during ^in++++=during
the ^ati++++=the
easing ^nn++++=easing
of ^in++++=of
restrictive ^jj+atrb+++=restrictive
measures ^nns++++=measures
in ^in++++=in
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
coronavirus ^nns+++??+=coronavirus
( ^zz++++=(SARS-CoV-2)
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
pandemic ^jj++++=pandemic,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
when ^wrb+who+++=when
these ^dt+dem+++=these
strategies ^nns+++??+=strategies
are ^vb+ber+aux++=are
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
indicators ^nns++++=indicators
and ^cc++++=and
allow ^vb++++=allow
for ^in+ppvb+++=for
comparison ^nn++++=comparison
across ^in+pl+++=across
different ^jj+atrb+++=different
federative ^jj+atrb+++=federative
units ^nns++++=units,
, ^zz++++=EXTRAWORD
contributes ^vbz++++=contributes
to ^in++++=to
a ^at++++=a
more ^rbr++++=more
comprehensive ^jj++++=comprehensive
understanding ^jj+++xvbg+=understanding
of ^in++++=of
disease ^nn++++=disease
outcomes ^nns+++??+=outcomes
by ^in++++=by
location ^nn+nom+++=location
and ^cc++++=and
facilitates ^nns+nom+++=facilitates
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
an ^at++++=an
epidemiological ^jj+atrb+++=epidemiological
overview ^nn+++??+=overview
at ^rb++++=at
the ^ati++++=the
national ^jj+atrb+++=national
level ^nn++++=level.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
may ^md+pos+++=may
inform ^vb++++=inform
policy ^nn++++=policy
reflection ^nn+nom+++=reflection
and ^cc++++=and
planning ^nvbg+++xvbg+=planning
in ^in++++=in
Brazil ^np++++=Brazil
and ^cc++++=and
other ^ap++++=other
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
supporting ^vbg+++xvbg+=supporting
the ^ati++++=the
evaluation ^nn+nom+++=evaluation
and ^cc++++=and
formulation ^nn+nom+++=formulation
of ^in++++=of
public ^jj+atrb+++=public
health ^nn++++=health
measures ^nns++++=measures
during ^in++++=during
the ^ati++++=the
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
