Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
regarding ^in++++=regarding
the ^ati++++=the
first ^od++++=first-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
constructs ^vbz++++=constructs
representing ^jj+++xvbg+=representing
Governance ^np+nom++??+=Governance,
, ^zz++++=EXTRAWORD
Audit ^np+++??+=Audit
is ^vbz+bez+aux++=is
included ^vpsv++agls+xvbnx+=included
as ^ql++++=as
a ^at++++=a
single ^jj++++=single-item
- ^zz++++=EXTRAWORD
item ^nn++++=EXTRAWORD
construct ^vb++++=construct.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
construct ^nn++++=construct
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
auditing ^jj+++xvbg+=auditing
of ^in++++=of
financial ^jj+atrb+++=financial
statements ^nns+nom+++=statements
by ^in++++=by
an ^at++++=an
independent ^jj+atrb+++=independent
audit ^nn+++??+=audit
firm ^jj++++=firm,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
provides ^vbz+vsua+++=provides
an ^at++++=an
opinion ^nn++++=opinion
on ^in++++=on
whether ^cs+who+++=whether
the ^ati++++=the
non ^&fw++++=non-profit
- ^zz++++=EXTRAWORD
profit ^nn++++=EXTRAWORD
organization ^nn+nom+++=organization
s ^zz++++=s
financial ^jj+atrb+++=financial
statements ^nns+nom+++=statements
are ^vb+ber+vrb++=are
free ^jj+pred+++=free
from ^in++++=from
material ^nn++++=material
misstatements ^nns+nom+++=misstatements
and ^cc++++=and
comply ^vb++++=comply
with ^in++++=with
applicable ^jj+atrb+++=applicable
standards ^nns++++=standards
( ^zz++++=(Verbruggen
verbruggen ^vb++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
