Data ^nns++++=Data
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
for ^in++++=for
the ^ati++++=the
four ^cd++++=four
identified ^xvbn+++xvbn+=identified
sites ^nns++++=sites:
: ^zz++++=EXTRAWORD
Plateau ^nn++++=Plateau
Plain ^jj++++=Plain
( ^zz++++=(PP),
pp ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Foot ^nn++++=Foot
of ^in++++=of
Escarpment ^np+nom++??+=Escarpment
( ^zz++++=(FE),
fe ^&fo++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Valley ^nn++++=Valley
Plain ^jj++++=Plain
( ^zz++++=(VP),
vp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Riparian ^np+++??+=Riparian
Zone ^nn++++=Zone
( ^zz++++=(RZ).
rz ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
distribution ^nn+nom+++=distribution
and ^cc++++=and
number ^nn++++=number
of ^in++++=of
taxa ^nn+++??+=taxa
at ^rb++++=at
each ^dt++++=each
site ^nn++++=site
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
Riparian ^np+++??+=Riparian
Zone ^nn++++=Zone
( ^zz++++=(RZ)
rz ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
exhibited ^vbd+++xvbn+=exhibited
the ^ati++++=the
highest ^jjt+atrb+++=highest
richness ^nns+nom+++=richness
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
families ^nns++++=families,
, ^zz++++=EXTRAWORD
genera ^nns++++=genera,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
species ^nn++++=species,
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
72.88 ^cd++++=72.88%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
59.39 ^cd++++=59.39%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
47 ^cd++++=47%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^nn++++=total,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Valley ^nn++++=Valley
Plain ^jj++++=Plain
( ^zz++++=(VP)
vp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
also ^rb++++=also
demonstrated ^vbn+vprv++xvbn+=demonstrated
high ^np++++=high
taxonomic ^jj+atrb+++=taxonomic
richness ^nns+nom+++=richness,
, ^zz++++=EXTRAWORD
with ^in++++=with
54.23 ^cd++++=54.23%
% ^zz++++=EXTRAWORD
of ^in++++=of
families ^nns++++=families,
, ^zz++++=EXTRAWORD
55.84 ^cd++++=55.84%
% ^zz++++=EXTRAWORD
of ^in++++=of
genera ^nns++++=genera,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
54.33 ^cd++++=54.33%
% ^zz++++=EXTRAWORD
of ^in++++=of
species ^nns++++=species
represented ^vpsv++agls+xvbn+=represented.
. ^zz++++=EXTRAWORD
