Based ^xvbn+++xvbn+=Based
on ^in++++=on
these ^dt+dem+++=these
results ^nns++++=results,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
maintain ^vbi+vpub+++=maintain
exchange ^nn++++=exchange
rate ^nn++++=rate
fluctuations ^nns+nom+++=fluctuations
within ^in++++=within
a ^at++++=a
specific ^jj+atrb+++=specific
range ^nn++++=range
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
the ^ati++++=the
national ^jj+atrb+++=national
currency ^nn++++=currency,
, ^zz++++=EXTRAWORD
facilitate ^nn+nom+++=facilitate
foreign ^jj+atrb+++=foreign
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
promote ^vb++++=promote
economic ^jj+atrb+++=economic
growth ^nn++++=growth
and ^cc++++=and
employment ^nn+nom+++=employment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
potentially ^rb++++=potentially
reduce ^vb++++=reduce
mortality ^nn+nom+++=mortality
among ^in++++=among
women ^nns++++=women
and ^cc++++=and
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
contributes ^vbz++++=contributes
to ^in++++=to
the ^ati++++=the
literature ^nn++++=literature
by ^in++++=by
providing ^xvbg+++xvbg+=providing
the ^ati++++=the
first ^rb++++=first
empirical ^jj+atrb+++=empirical
analysis ^nn++++=analysis
of ^in++++=of
this ^dt+dem+++=this
subject ^nn++++=subject
using ^vwbg+++xvbg+=using
current ^jj+atrb+++=current
and ^cc+phrs+++=and
advanced ^jj+atrb++xvbn+=advanced
methodologies ^nns+++??+=methodologies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
independence ^nn+nom+++=independence
of ^in++++=of
central ^jj+atrb+++=central
banks ^nns++++=banks,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
primary ^jj+atrb+++=primary
responsibility ^nn+nom+++=responsibility
is ^vbz+bez+aux++=is
to ^to++++=to
preserve ^vb++++=preserve
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
the ^ati++++=the
national ^jj+atrb+++=national
currency ^nn++++=currency,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
appropriate ^jj+atrb+++=appropriate
monetary ^jj+atrb+++=monetary
policies ^nns++++=policies
are ^vb+ber+vrb++=are
of ^in++++=of
critical ^jj+atrb+++=critical
importance ^nn+nom+++=importance.
. ^zz++++=EXTRAWORD
Policymakers ^nns+nom++??+=Policymakers
have ^vb+hv+vrb++=have
significant ^jj+atrb+++=significant
responsibilities ^nns+nom+++=responsibilities
in ^in++++=in
addressing ^xvbg+++xvbg+=addressing
and ^cc++++=and
preventing ^xvbg+++xvbg+=preventing
violence ^nn+nom+++=violence
and ^cc++++=and
femicide ^nn+++??+=femicide
against ^in++++=against
women ^nns++++=women
and ^cc++++=and
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
increasingly ^rb++++=increasingly
prevalent ^jj++++=prevalent
and ^cc++++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
normalized ^j+++xvbn+=normalized
through ^in++++=through
certain ^jj+atrb+++=certain
discourses ^nns++++=discourses
and ^cc++++=and
policies ^nns++++=policies.
. ^zz++++=EXTRAWORD
Future ^jjb+atrb+++=Future
research ^nn++++=research
should ^md+nec+++=should
further ^jjb++++=further
investigate ^nn+nom+++=investigate
the ^ati++++=the
economic ^jj+atrb+++=economic
dimensions ^nns++++=dimensions
of ^in++++=of
widespread ^jj+atrb+++=widespread
and ^cc+phrs+++=and
systematic ^jj+atrb+++=systematic
violence ^nn+nom+++=violence
against ^in++++=against
women ^nns++++=women
and ^cc++++=and
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
including ^in++++=including
femicide ^nn++++=femicide.
. ^zz++++=EXTRAWORD
