Only ^rb+down+++=Only
13 ^cd++++=13
of ^in++++=of
the ^ati++++=the
59 ^cd++++=59
plant ^nn++++=plant
families ^nns++++=families
identified ^vwbn+++xvbn+=identified
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
area ^nn++++=area
were ^vbd+bed+aux++=were
present ^vb++++=present
at ^rb++++=at
all ^abn++++=all
four ^cd++++=four
sites ^nns++++=sites;
; ^zz++++=EXTRAWORD
these ^dt+dem+++=these
included ^jj+++xvbn+=included
Apiaceae ^np+++??+=Apiaceae,
, ^zz++++=EXTRAWORD
Asteraceae ^np+++??+=Asteraceae,
, ^zz++++=EXTRAWORD
Boraginaceae ^np+++??+=Boraginaceae,
, ^zz++++=EXTRAWORD
Brassicaceae ^np+++??+=Brassicaceae,
, ^zz++++=EXTRAWORD
Calyceraceae ^np+++??+=Calyceraceae,
, ^zz++++=EXTRAWORD
Caryophyllaceae ^np+++??+=Caryophyllaceae,
, ^zz++++=EXTRAWORD
Chenopodiaceae ^np+++??+=Chenopodiaceae,
, ^zz++++=EXTRAWORD
Euphorbiaceae ^np+++??+=Euphorbiaceae,
, ^zz++++=EXTRAWORD
Fabaceae ^np+++??+=Fabaceae,
, ^zz++++=EXTRAWORD
Plantaginaceae ^np+++??+=Plantaginaceae,
, ^zz++++=EXTRAWORD
Poaceae ^np+++??+=Poaceae,
, ^zz++++=EXTRAWORD
Solanaceae ^np+++??+=Solanaceae,
, ^zz++++=EXTRAWORD
Verbenaceae ^np+++??+=Verbenaceae,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Zygophyllaceae ^np+++??+=Zygophyllaceae.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
other ^ap++++=other
families ^nns++++=families
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
at ^rb++++=at
three ^cd++++=three
of ^in++++=of
the ^ati++++=the
four ^cd++++=four
sites ^nns++++=sites.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sites ^nns++++=sites
Pp ^nns++++=PP,
, ^zz++++=EXTRAWORD
Fe ^&fo++++=FE,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Vp ^np+++??+=VP
( ^zz++++=(excluding
excluding ^vbg+++xvbg+=EXTRAWORD
Rz ^np+++??+=RZ)
) ^zz++++=EXTRAWORD
shared ^vprf+++xvbn+=shared
13 ^cd++++=13
families ^nns++++=families,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
sites ^nns++++=sites
Fe ^&fo++++=FE,
, ^zz++++=EXTRAWORD
Vp ^np+++??+=VP,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rz ^np++++=RZ
( ^zz++++=(excluding
excluding ^vbg+++xvbg+=EXTRAWORD
pp ^nnu++++=PP)
) ^zz++++=EXTRAWORD
shared ^vprf+++xvbn+=shared
7 ^zz++++=7
families ^nns++++=families.
. ^zz++++=EXTRAWORD
