Stem ^nn++++=Stem
leaves ^nns++++=leaves
are ^vb+ber+vrb++=are
ovate ^nn++++=ovate
with ^in++++=with
an ^at++++=an
acuminate ^nn+nom+++=acuminate
apex ^nn++++=apex
and ^cc++++=and
serrate ^nn+nom+++=serrate
margins ^nns++++=margins;
; ^zz++++=EXTRAWORD
the ^ati++++=the
costae ^nn+++??+=costae
are ^vb+ber+vrb++=are
strong ^jj+pred+++=strong.
. ^zz++++=EXTRAWORD
Branch ^nn++++=Branch
leaves ^nns++++=leaves
are ^vb+ber+vrb++=are
distant ^jj+pred+++=distant,
, ^zz++++=EXTRAWORD
erect ^jj++++=erect
to ^in++++=to
widely ^rb++++=widely
spreading ^jj+++xvbg+=spreading,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
range ^nn++++=range
from ^in++++=from
lanceolate ^nn+nom+++=lanceolate
to ^to++++=to
ovate ^vbi++++=ovate
in ^in++++=in
shape ^nn++++=shape,
, ^zz++++=EXTRAWORD
with ^in++++=with
apices ^nns+++??+=apices
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
acute ^jj+pred+++=acute
to ^in++++=to
shortly ^rb+tm+++=shortly
acuminate ^nn+nom+++=acuminate.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+vrb++=is
corticolous ^jj+pred+++=corticolous,
, ^zz++++=EXTRAWORD
rupicolous ^jj++++=rupicolous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
terricolous ^jj++++=terricolous
within ^in++++=within
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
Paran ^np+++??+=Paran
, ^zz++++=,
Rio ^np+++??+=Rio
Grande ^&fw++++=Grande
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul,
, ^zz++++=EXTRAWORD
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
 ^zz++++=EXTRAWORD
As ^cc+cls+++=as
Well ^rb++++=well
As ^cc"++++=as
Throughout ^in++++=throughout
The ^ati++++=the
Neotropical ^np++++=Neotropical
Region ^nn++++=region.
 ^zz++++=EXTRAWORD
