During ^in++++=During
the ^ati++++=the
studied ^jj+atrb++xvbn+=studied
period ^nn++++=period,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
three ^cd++++=three
species ^nn++++=species
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
exclusively ^rb++++=exclusively
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
Mid ^jjb++++=Mid-Holocene,
- ^zz++++=EXTRAWORD
holocene ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
a ^at++++=a
maximum ^jj+atrb+++=maximum
abundance ^nn+nom+++=abundance
of ^in++++=of
4.5 ^cd++++=4.5%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
low ^jj+atrb+++=low
abundance ^nn+nom+++=abundance
of ^in++++=of
diatom ^nn+++??+=diatom
species ^nns++++=species
during ^in++++=during
this ^dt+dem+++=this
time ^nn++++=time
may ^md+pos+++=may
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
deeper ^jjr+atrb+++=deeper
water ^nn++++=water
conditions ^nns+nom+++=conditions
and ^cc++++=and
increased ^jj+atrb++xvbn+=increased
hydrological ^jj+atrb+++=hydrological
flow ^nn++++=flow.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
observation ^nn+nom+++=observation
is ^vbz+bez+vrb++=is
consistent ^jj+pred+++=consistent
with ^in++++=with
findings ^nns++++=findings
from ^in++++=from
previous ^jj+atrb+++=previous
studies ^nns++++=studies
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
the ^ati++++=the
Amazon ^np+++??+=Amazon
Basin ^nn++++=Basin
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cordeiro ^np+++??+=Cordeiro
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
Moreira ^np+++??+=Moreira
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Brugger ^np+++??+=Brugger
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
fontes ^np++++=Fontes
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
