Given ^vbd+++xvbn+=Given
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
serapillera ^nn+++??+=serapillera
in ^in++++=in
environmental ^jj+atrb+++=environmental
restoration ^nn+nom+++=restoration
and ^cc++++=and
its ^pp$+it+++=its
role ^nn++++=role
in ^in++++=in
facilitating ^xvbg+++xvbg+=facilitating
the ^ati++++=the
establishment ^nn+nom+++=establishment
of ^in++++=of
endomycorrhizal ^jj+atrb+++=endomycorrhizal
fungi ^nns++++=fungi
in ^in++++=in
soil ^nn++++=soil,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
aimed ^vwbn+++xvbn+=aimed
to ^to+vcmp+++=to
evaluate ^nn+nom+++=evaluate
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
serapillera ^nn+++??+=serapillera
transposition ^nn+nom+++=transposition
on ^in++++=on
the ^ati++++=the
arbuscular ^nn+++??+=arbuscular
mycorrhizal ^jj+atrb+++=mycorrhizal
fungi ^nns++++=fungi
( ^zz++++=(AMF)
amf ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
community ^nn+nom+++=community
within ^in++++=within
a ^at++++=a
disturbed ^jj+atrb+++=disturbed
area ^nn++++=area.
. ^zz++++=EXTRAWORD
