Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
disrupted ^vprf+++xvbnx+=disrupted
secondary ^jj+atrb+++=secondary
education ^nn+nom+++=education
in ^in++++=in
Brazil ^np++++=Brazil
and ^cc++++=and
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
affect ^vbi++++=affect
access ^nn++++=access
to ^in++++=to
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Brazilian ^jj+atrb+++=Brazilian
Association ^nn+nom+++=Association
of ^in++++=of
Higher ^jjr+atrb+++=Higher
Education ^nn+nom+++=Education
Administrators ^nns++++=Administrators
( ^zz++++=(2020c)
2020c ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
indicated ^vprf++tht0+xvbnx+=indicated
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
delays ^nns++++=delays
in ^in++++=in
administering ^xvbg+++xvbg+=administering
the ^ati++++=the
National ^jj+atrb+++=National
High ^jj+atrb+++=High
School ^nn++++=School
Examination ^nn+nom+++=Examination
( ^zz++++=(ENEM)
enem ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
may ^md+pos+++=may
result ^vb++++=result
in ^in++++=in
future ^jjb+atrb+++=future
shortages ^nns+nom+++=shortages
of ^in++++=of
skilled ^jj+atrb+++=skilled
labor ^nn++++=labor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
transition ^nn+nom+++=transition
from ^in++++=from
school ^nn++++=school
to ^in++++=to
the ^ati++++=the
labor ^nn++++=labor
market ^nn++++=market
has ^vbz+hvz+aux++=has
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
significantly ^rb++splt++=significantly
affected ^vpsv++by+xvbn+=affected
by ^in++++=by
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Enem ^np+++??+=ENEM,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
key ^jjb+atrb+++=key
public ^jj+atrb+++=public
policy ^nn++++=policy
instrument ^nn+nom+++=instrument
for ^in++++=for
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education
admissions ^nns++++=admissions,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
considerable ^jj+atrb+++=considerable
political ^jj+atrb+++=political
debate ^nn++++=debate
during ^in++++=during
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Ministry ^nn++++=Ministry
of ^in++++=of
Education ^nn+nom+++=Education,
, ^zz++++=EXTRAWORD
in ^in++++=in
contrast ^nn++++=contrast
to ^in++++=to
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn+nom+++=Organization
guidelines ^nns+++??+=guidelines,
, ^zz++++=EXTRAWORD
initially ^rb+tm+++=initially
maintained ^vbd+vpub++xvbn+=maintained
the ^ati++++=the
original ^nn+nom+++=original
schedule ^nn++++=schedule
for ^in++++=for
the ^ati++++=the
examination ^nn+nom+++=examination
in ^in++++=in
November ^nr+nom+++=November
2020 ^cd++++=2020.
. ^zz++++=EXTRAWORD
Various ^jj+atrb+++=Various
sectors ^nns++++=sectors
of ^in++++=of
society ^nn++++=society
opposed ^vbd+++xvbn+=opposed
this ^dt+dem+++=this
decision ^nn++++=decision
and ^cc++++=and
sought ^vbd+++xvbn+=sought
judicial ^jj+atrb+++=judicial
review ^nn++++=review
regarding ^in++++=regarding
the ^ati++++=the
appropriateness ^nns+nom+++=appropriateness
of ^in++++=of
the ^ati++++=the
schedule ^nn++++=schedule.
. ^zz++++=EXTRAWORD
Ultimately ^rb+cnj+++=Ultimately,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Education ^nn+nom+++=Education
agreed ^vbd+vpub++xvbn+=agreed
to ^to++++=to
postpone ^vbi++++=postpone
the ^ati++++=the
Enem ^np+++??+=ENEM
by ^in++++=by
30 ^cd++++=30
to ^to++++=to
60 ^cd++++=60
days ^nns++++=days
( ^zz++++=(National
national ^jj+atrb+++=EXTRAWORD
Institute ^nn++++=Institute
of ^in++++=of
studies ^nns++++=Studies
and ^cc++++=and
educational ^jj+atrb+++=Educational
research ^nn++++=Research
an ^at++++=An
sio ^nn++++=sio
teixeira ^np++++=Teixeira
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
