Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
legitimizing ^jj+atrb++xvbg+=legitimizing
myths ^nns++++=myths
and ^cc++++=and
the ^ati++++=the
latent ^jj+atrb+++=latent,
, ^zz++++=EXTRAWORD
subconscious ^jj+atrb+++=subconscious
tendency ^nn++++=tendency
within ^in++++=within
society ^nn++++=society
to ^to++++=to
preserve ^vbi++++=preserve
stratified ^jj+atrb+++=stratified
social ^jj+atrb+++=social
hierarchies ^nns+++??+=hierarchies
may ^md+pos+++=may
influence ^nn+nom+++=influence
both ^abx++++=both
the ^ati++++=the
appointment ^nn+nom+++=appointment
and ^cc++++=and
identification ^nn+nom+++=identification
of ^in++++=of
Black ^np++++=Black
D&t ^np+++??+=D&T
students ^nns++++=students
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
educators ^nns++++=educators
should ^md+nec+++=should
be ^vb+be+vrb++=be
cognizant ^nn+nom+++=cognizant
of ^in++++=of
the ^ati++++=the
potential ^nn++++=potential
for ^in++++=for
subconscious ^jj+atrb+++=subconscious
biases ^nns+++??+=biases
favoring ^vwbg+++xvbg+=favoring
hierarchical ^jj+atrb+++=hierarchical
social ^jj+atrb+++=social
structures ^nns++++=structures
during ^in++++=during
the ^ati++++=the
identification ^nn+nom+++=identification
process ^nns+nom+++=process
of ^in++++=of
underrepresented ^jj+atrb+++=underrepresented
students ^nns++++=students
( ^zz++++=(Acosta,
acosta ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
