Governance ^np+nom++??+=Governance
was ^vbd+bedz+aux++=was
measured ^vpsv++agls+xvbnx+=measured
using ^vbg+++xvbg+=using
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
governance ^nn+nom+++=governance
factors ^nns++++=factors
( ^zz++++=(proxies)
proxies ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
identified ^vbd+++xvbn+=identified
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
in ^in++++=in
accordance ^nn+nom+++=accordance
with ^in"++++=with
the ^ati++++=the
approach ^nn++++=approach
adopted ^vwbn+++xvbn+=adopted
by ^in++++=by
previous ^jj+atrb+++=previous
studies ^nns++++=studies
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bromley ^np++++=Bromley
and ^cc++++=and
Orchard ^nn++++=Orchard,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
feng ^np++++=Feng
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
