Despite ^in++++=Despite
the ^ati++++=the
demonstrated ^jj+atrb++xvbn+=demonstrated
efficacy ^nn+nom+++=efficacy
of ^in++++=of
Libidibia ^np+++??+=Libidibia
ferrea ^nn+++??+=ferrea,
, ^zz++++=EXTRAWORD
further ^jjb+atrb+++=further
studies ^nns++++=studies
are ^vb+ber+vrb++=are
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
investigate ^nn+nom+++=investigate
its ^pp$+it+++=its
potential ^jj++++=potential
as ^ql++++=as
a ^at++++=a
surface ^nn++++=surface
disinfectant ^jj++++=disinfectant.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
evaluate ^nn+nom+++=evaluate
the ^ati++++=the
disinfectant ^jj+atrb+++=disinfectant
activity ^nn+nom+++=activity
of ^in++++=of
both ^abx++++=both
the ^ati++++=the
extract ^nn++++=extract
and ^cc++++=and
decoction ^nn+nom+++=decoction
of ^in++++=of
libidibia ^np++++=Libidibia
ferrea ^nn++++=ferrea
leaves ^nns++++=leaves
on ^in++++=on
various ^jj+atrb+++=various
surfaces ^nns++++=surfaces.
. ^zz++++=EXTRAWORD
