Femicide ^np+++??+=Femicide
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
killing ^jj+++xvbg+=killing
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman
or ^cc++++=or
girl ^nn++++=girl
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
a ^at++++=a
violent ^jj+atrb+++=violent
interpersonal ^nn+nom+++=interpersonal
interaction ^nn+nom+++=interaction
and ^cc++++=and
represents ^vbz++++=represents
an ^at++++=an
extreme ^nn++++=extreme
and ^cc++++=and
direct ^jj+atrb+++=direct
form ^nn++++=form
of ^in++++=of
gender ^nn++++=gender-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
Researchers ^nns+nom++??+=Researchers
have ^vb+hv+aux++=have
argued ^vprf+++xvbnx+=argued
that ^tht+vcmp+++=that
femicide ^nn+++??+=femicide
should ^md+nec+++=should
be ^vb+be+aux++=be
conceptualized ^vpsv++agls+xvbnx+=conceptualized
as ^in++++=as
a ^at++++=a
distinct ^jj+atrb+++=distinct
category ^nn++++=category
within ^in++++=within
the ^ati++++=the
broader ^jjr+atrb+++=broader
spectrum ^nn+++??+=spectrum
of ^in++++=of
violent ^jj+atrb+++=violent
phenomena ^nns++++=phenomena,
, ^zz++++=EXTRAWORD
warranting ^vbg+++xvbg+=warranting
analysis ^nn++++=analysis
within ^in++++=within
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework.
. ^zz++++=EXTRAWORD
The ^ati++++=The
term ^nn++++=term
" ^zz++++="femicide"
femicide ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
first ^od++++=first
documented ^vbd+++xvbn+=documented
in ^in++++=in
1801 ^cd+date+++=1801,
, ^zz++++=EXTRAWORD
defined ^vpbn+vprv++xvbn+=defined
as ^in++++=as
" ^zz++++="the
the ^ati++++=EXTRAWORD
murder ^nn++++=murder
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
was ^vbd+bedz+aux++=was
legally ^rb++splt++=legally
recognized ^vpsv++agls+xvbnx+=recognized
in ^in++++=in
1848 ^cd+date+++=1848
with ^in++++=with
its ^pp$+it+++=its
inclusion ^nn++++=inclusion
in ^in++++=in
the ^ati++++=the
Wharton ^np+++??+=Wharton
Legal ^jj+atrb+++=Legal
Dictionary ^nn+nom+++=Dictionary,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
entering ^vbg+++xvbg+=entering
English ^jj+atrb+++=English
legal ^jj+atrb+++=legal
terminology ^nn++++=terminology.
. ^zz++++=EXTRAWORD
Radford ^np++++=Radford
( ^zz++++=(1992)
1992 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
highlighted ^vbd+++xvbn+=highlighted
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
naming ^xvbg+++xvbg+=naming
the ^ati++++=the
phenomenon ^nn++++=phenomenon,
, ^zz++++=EXTRAWORD
stating ^vbg+vpub++xvbg+=stating,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cannot ^md+pos+not++=cannot
mobilize ^vb++++=mobilize
against ^in++++=against
something ^pn++++=something
with ^in++++=with
no ^at++++=no
name ^nn++++=name."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
increasing ^jj+atrb++xvbg+=increasing
prevalence ^nn+nom+++=prevalence
and ^cc++++=and
systematic ^jj+atrb+++=systematic
nature ^nn++++=nature
of ^in++++=of
violent ^jj+atrb+++=violent
deaths ^nns++++=deaths
targeting ^vwbg+++xvbg+=targeting
women ^nns++++=women
have ^vb+hv+aux++=have
attracted ^vprf+++xvbnx+=attracted
interdisciplinary ^nn+nom+++=interdisciplinary
scholarly ^jj+atrb+++=scholarly
attention ^nn+nom+++=attention,
, ^zz++++=EXTRAWORD
prompting ^nn++++=prompting
efforts ^nns++++=efforts
to ^to+ncmp+++=to
establish ^vbi+vprv+++=establish
a ^at++++=a
clear ^jj+atrb+++=clear
conceptual ^jj+atrb+++=conceptual
framework ^nn++++=framework.
. ^zz++++=EXTRAWORD
The ^ati++++=The
term ^nn++++=term
gained ^vbd+++xvbn+=gained
further ^jjb+atrb+++=further
prominence ^nn+nom+++=prominence
when ^wrb+who+++=when
Diana ^np++++=Diana
Russell ^np++++=Russell
introduced ^vwbn+++xvbn+=introduced
it ^pp3+it+++=it
at ^in++++=at
the ^ati++++=the
International ^jj+atrb+++=International
Tribunal ^nn+nom+++=Tribunal
for ^in++++=for
Crimes ^nns++++=Crimes
Against ^in++++=Against
Women ^nns++++=Women
in ^in++++=in
March ^nn++++=March
1976 ^cd+date+++=1976.
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
Radford ^np++++=Radford
and ^cc++++=and
Russell ^np++++=Russell
( ^zz++++=(1992)
1992 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
defined ^vbn+vprv++xvbn+=defined
femicide ^nn+++??+=femicide
as ^in++++=as
" ^zz++++="the
the ^ati++++=EXTRAWORD
misogynistic ^nn++++=misogynistic
killing ^vwbg+++xvbg+=killing
of ^in++++=of
women ^nns++++=women
by ^in++++=by
men ^nns++++=men,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
Radford ^np++++=Radford
further ^jjb+atrb+++=further
identified ^jj+atrb++xvbn+=identified
femicide ^nn+++??+=femicide
as ^ql++++=as
a ^at++++=a
form ^nn++++=form
of ^in++++=of
sexual ^jj+atrb+++=sexual
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
" ^zz++++="homicide"
homicide ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
denotes ^vbz+vsua+++=denotes
the ^ati++++=the
killing ^jj+++xvbg+=killing
of ^in++++=of
a ^at++++=a
human ^nn++++=human
being ^vwbg+beg++xvbg+=being,
, ^zz++++=EXTRAWORD
" ^zz++++="femicide"
femicide ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
killing ^jj+++xvbg+=killing
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
providing ^vbg+++xvbg+=providing
a ^at++++=a
more ^rbr++++=more
precise ^jj+atrb+++=precise
theoretical ^jj+atrb+++=theoretical
concept ^nn++++=concept.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rising ^jj+atrb++xvbg+=rising
incidence ^nn+nom+++=incidence
of ^in++++=of
femicide ^nn+++??+=femicide
has ^vbz+hvz+aux++=has
led ^vprf+++xvbnx+=led
to ^in++++=to
its ^pp$+it+++=its
adoption ^nn+nom+++=adoption
in ^in++++=in
other ^ap++++=other
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^in++++=as
" ^zz++++="feminicidio"
feminicidio ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
Spanish ^jj++++=Spanish
and ^cc++++=and
" ^zz++++="kad
kad ^nn+++??+=EXTRAWORD
n ^zz++++=n
cinayetleri ^nn+++??+=cinayetleri"
" ^zz++++=EXTRAWORD
in ^in++++=in
Turkish ^nn++++=Turkish.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
