Embedded ^vbd+++xvbn+=Embedded
interrogatives ^nns++++=interrogatives,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
( ^zz++++=(32)b,
32)b ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
differ ^vbi++++=differ
slightly ^rb+down+++=slightly
from ^in++++=from
their ^pp$+pp3+++=their
matrix ^nn++++=matrix
counterparts ^nns++++=counterparts.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
also ^rb++splt++=also
assumed ^vpsv++agls+xvbnx+=assumed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
derived ^vpsv++agls+xvbnx+=derived
through ^in++++=through
wh ^nn+++??+=wh-movement,
- ^zz++++=EXTRAWORD
movement ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
evidence ^nn+nom+++=evidence
from ^in++++=from
Italian ^nn++++=Italian,
, ^zz++++=EXTRAWORD
as ^in++++=as
discussed ^nn++++=discussed
by ^in++++=by
Rizzi ^np+++??+=Rizzi
( ^zz++++=(1997)
1997 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Rizzi ^np+++??+=Rizzi
& ^zz++++=&
Bocci ^np+++??+=Bocci
( ^zz++++=(2017),
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
displaced ^jj+atrb++xvbn+=displaced
wh ^nn+++??+=wh-element
- ^zz++++=EXTRAWORD
element ^nn+nom+++=EXTRAWORD
in ^in++++=in
embedded ^vbd+++xvbn+=embedded
contexts ^nns++++=contexts
does ^vbz+doz+aux++=does
not ^xnot++not++=not
exhibit ^vb++++=exhibit
focalization ^nn+nom+++=focalization.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+aux++=is
indicated ^vpsv++by+xvbnx+=indicated
by ^in++++=by
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
certain ^jj+atrb+++=certain
restrictions ^nns+nom+++=restrictions
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
matrix ^nn++++=matrix
clauses ^nns++++=clauses.
. ^zz++++=EXTRAWORD
In ^in++++=In
subordinate ^jj+atrb+++=subordinate
clauses ^nns++++=clauses,
, ^zz++++=EXTRAWORD
wh ^nn+++??+=wh-operators
- ^zz++++=EXTRAWORD
operators ^nns++++=EXTRAWORD
are ^vb+ber+aux++=are
proposed ^vpsv++agls+xvbnx+=proposed
to ^to++++=to
occupy ^vbi++++=occupy
the ^ati++++=the
specifier ^np+nom+++=Specifier
position ^nn+nom+++=position
of ^in++++=of
an ^at++++=an
embq ^np++++=EmbQ
projection ^nn+nom+++=projection.
. ^zz++++=EXTRAWORD
