Linearity ^np+nom++??+=Linearity
tests ^nns++++=tests
are ^vb+ber+aux++=are
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
models ^nns++++=models
employing ^vwbg+++xvbg+=employing
smooth ^jj+atrb+++=smooth
transition ^nn+nom+++=transition
autoregressive ^jj++++=autoregressive
( ^zz++++=(STAR)
star ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
frameworks ^nns++++=frameworks.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
tests ^nns++++=tests
serve ^vb++++=serve
as ^in++++=as
preliminary ^jj+atrb+++=preliminary
assessments ^nns+nom+++=assessments
for ^in++++=for
determining ^xvbg+++xvbg+=determining
the ^ati++++=the
appropriateness ^nns+nom+++=appropriateness
of ^in++++=of
Star ^nn++++=STAR-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
models ^nns++++=models.
. ^zz++++=EXTRAWORD
Unlike ^in++++=Unlike
other ^ap++++=other
linearity ^nn+nom+++=linearity
tests ^nns++++=tests,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
introduced ^vpsv++by+xvbn+=introduced
by ^in++++=by
Harvey ^np++++=Harvey
do ^vb+do+aux++=do
not ^xnot++not++=not
require ^vb+vsua+++=require
any ^dti++++=any
specific ^jj+atrb+++=specific
preconditions ^nns+nom+++=preconditions.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
their ^pp$+pp3+++=their
primary ^jj+atrb+++=primary
advantage ^nn+nom+++=advantage
of ^in++++=of
being ^xvbg+++xvbg+=being
unaffected ^jj++++=unaffected
by ^in++++=by
the ^ati++++=the
stationarity ^nn+nom+++=stationarity
properties ^nns++++=properties
of ^in++++=of
the ^ati++++=the
data ^nns++++=data,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tests ^nns++++=tests
developed ^vwbn+++xvbn+=developed
by ^in++++=by
Harvey ^np++++=Harvey
and ^cc++++=and
Leybourne ^np+++??+=Leybourne
( ^zz++++=(2007)
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Harvey ^np++++=Harvey,
, ^zz++++=EXTRAWORD
Leybourne ^np+++??+=Leybourne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Xiao ^np+++??+=Xiao
( ^zz++++=(2008)
2008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
utilized ^vpsv++agls+xvbn+=utilized
to ^to++++=to
assess ^vbi++++=assess
linearity ^nn+nom+++=linearity
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
