Medeiros ^np+++??+=Medeiros
Junior ^jj++++=Junior
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
proposes ^vbz+vsua+++=proposes
that ^tht+vcmp+++=that
all ^abn++++=all
free ^jj+atrb+++=free
relatives ^nns++++=relatives
in ^in++++=in
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese
are ^vb+ber+vrb++=are
of ^in++++=of
the ^ati++++=the
wh ^nn+++??+=wh-ever
- ^zz++++=EXTRAWORD
ever ^rb++++=EXTRAWORD
type ^nn++++=type,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
semantic ^jj+atrb+++=semantic
properties ^nns++++=properties.
. ^zz++++=EXTRAWORD
The ^ati++++=The
author ^nn++++=author
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
the ^ati++++=the
wh ^nn+++??+=wh-words
- ^zz++++=EXTRAWORD
words ^nns++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
constructions ^nns+nom+++=constructions
are ^vb+ber+vrb++=are
complex ^jj++++=complex
morphological ^jj++++=morphological
forms ^vbz++++=forms
created ^vprf+++xvbn+=created
through ^in++++=through
a ^at++++=a
syntactic ^jj+atrb+++=syntactic
process ^nns+nom+++=process
involving ^vwbg+++xvbg+=involving
the ^ati++++=the
incorporation ^nn+nom+++=incorporation
of ^in++++=of
the ^ati++++=the
determiner ^jjr++++=determiner
( ^zz++++=(D)
d ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
complementizer ^jjr++++=complementizer
( ^zz++++=(C),
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
triggered ^vpsv++by+xvbnx+=triggered
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
null ^jj++++=null
- ^zz++++=-ever
ever ^rb++++=EXTRAWORD
suffix ^nn++++=suffix
in ^in++++=in
D ^zz++++=D.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
wh ^nn+++??+=wh-words
- ^zz++++=EXTRAWORD
words ^nns++++=EXTRAWORD
in ^in++++=in
free ^jj+atrb+++=free
relatives ^nns++++=relatives
are ^vb+ber+aux++=are
interpreted ^vpsv++agls+xvbnx+=interpreted
with ^in++++=with
universal ^jj+atrb+++=universal
force ^nn++++=force.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
this ^dt+dem+++=this
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
universal ^jj+atrb+++=universal
semantics ^nn++++=semantics
of ^in++++=of
free ^jj+atrb+++=free
relatives ^nns++++=relatives
in ^in++++=in
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese
is ^vbz+bez+vrb++=is
a ^at++++=a
consequence ^nn+nom+++=consequence
of ^in++++=of
their ^pp$+pp3+++=their
syntactic ^jj+atrb+++=syntactic
derivation ^nn+nom+++=derivation,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
diagram ^nn++++=diagram
( ^zz++++=(46)9.
46)9 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
