Gomphonema ^np+++??+=Gomphonema
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
species ^nn++++=species-rich
- ^zz++++=EXTRAWORD
rich ^jj+atrb+++=EXTRAWORD
genus ^nns+++??+=genus,
, ^zz++++=EXTRAWORD
with ^in++++=with
six ^cd++++=six
species ^nns++++=species
identified ^vwbn+++xvbn+=identified,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Eunotia ^np+++??+=Eunotia
and ^cc++++=and
Sellaphora ^np+++??+=Sellaphora,
, ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
five ^cd++++=five
species ^nn++++=species,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
staurosirella ^np++++=Staurosirella
with ^in++++=with
four ^cd++++=four
species ^nn++++=species.
. ^zz++++=EXTRAWORD
