Microorganisms ^nns+nom++??+=Microorganisms
are ^vb+ber+aux++=are
increasingly ^rb++splt++=increasingly
developing ^vbg+++xvbgx+=developing
resistance ^nn+nom+++=resistance
to ^to++++=to
commonly ^rb++splt++=commonly
used ^vbi++++=used
chemical ^jj+atrb+++=chemical
disinfectants ^nns+nom+++=disinfectants,
, ^zz++++=EXTRAWORD
highlighting ^jj+++xvbg+=highlighting
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
identify ^vb++++=identify
alternative ^jj+atrb+++=alternative
agents ^nns++++=agents.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aimed ^vwbn+++xvbn+=aimed
to ^to+vcmp+++=to
evaluate ^nn+nom+++=evaluate
the ^ati++++=the
disinfectant ^jj+atrb+++=disinfectant
activity ^nn+nom+++=activity
of ^in++++=of
both ^abx++++=both
extract ^nn++++=extract
and ^cc++++=and
decoction ^nn+nom+++=decoction
preparations ^nns+nom+++=preparations
from ^in++++=from
Libidibia ^np+++??+=Libidibia
ferrea ^nn+++??+=ferrea
( ^zz++++=(juc
juc ^nn+++??+=EXTRAWORD
) ^zz++++=)
leaves ^nns++++=leaves
on ^in++++=on
various ^jj+atrb+++=various
surfaces ^nns++++=surfaces.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
extraction ^nn+nom+++=extraction
methods ^nns++++=methods
decoction ^nn+nom+++=decoction
and ^cc++++=and
hydroalcoholic ^jj+atrb+++=hydroalcoholic
extraction ^nn+nom+++=extraction
were ^vbd+bed+aux++=were
assessed ^vpsv++agls+xvbnx+=assessed
using ^vbg+++xvbg+=using
the ^ati++++=the
Kirby ^np+++??+=Kirby-Bauer
- ^zz++++=EXTRAWORD
bauer ^np++++=EXTRAWORD
disk ^nn+++??+=disk
diffusion ^nn++++=diffusion
technique ^nn++++=technique,
, ^zz++++=EXTRAWORD
bacterial ^jj+atrb+++=bacterial
growth ^nn++++=growth
curve ^nn++++=curve
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
a ^at++++=a
population ^nn+nom+++=population
acceptability ^nn+nom+++=acceptability
test ^nn++++=test,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
surface ^nn++++=surface
disinfection ^nn+nom+++=disinfection
assay ^nn++++=assay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
the ^ati++++=the
decoction ^nn+nom+++=decoction
exhibited ^vbd+++xvbn+=exhibited
activity ^nn+nom+++=activity
against ^in++++=against
Staphylococcus ^np+++??+=Staphylococcus
aureus ^&fw++++=aureus
and ^cc++++=and
Enterococcus ^np+++??+=Enterococcus
faecalis ^nns+++??+=faecalis,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
hydroalcoholic ^jj+atrb+++=hydroalcoholic
extract ^nn++++=extract
was ^vbd+bedz+vrb++=was
effective ^jj+pred+++=effective
against ^in++++=against
S ^zz++++=S.
. ^zz++++=EXTRAWORD
aureus ^&fw++++=aureus,
, ^zz++++=EXTRAWORD
Pseudomonas ^np+++??+=Pseudomonas
aeruginosa ^nn+++??+=aeruginosa,
, ^zz++++=EXTRAWORD
Micrococcus ^np+++??+=Micrococcus
spp ^nn+++??+=spp.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Corynebacterium ^np+++??+=Corynebacterium
spp ^nn+++??+=spp.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Salmonella ^np+++??+=Salmonella
Typhimurium ^np+++??+=Typhimurium
in ^in++++=in
the ^ati++++=the
disk ^nn+++??+=disk
diffusion ^nn++++=diffusion
assay ^nn++++=assay.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
the ^ati++++=the
decoction ^nn+nom+++=decoction
and ^cc++++=and
extract ^nn++++=extract,
, ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
concentration ^nn+nom+++=concentration
of ^in++++=of
100 ^cd++++=100
mg ^nnu++++=mg/mL,
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
a ^at++++=a
reduction ^nn+nom+++=reduction
of ^in++++=of
bacterial ^jj+atrb+++=bacterial
load ^nn++++=load,
, ^zz++++=EXTRAWORD
as ^in++++=as
measured ^nn++++=measured
by ^in++++=by
absorbance ^nn+nom+++=absorbance,
, ^zz++++=EXTRAWORD
