Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
the ^ati++++=the
assumptions ^nns+nom+++=assumptions
of ^in++++=of
Harris ^np++++=Harris
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Hansan ^np+++??+=Hansan
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
posits ^nns+++??+=posits
that ^tht+rel+subj++=that
increased ^vprf+++xvbn+=increased
governance ^nn+nom+++=governance
is ^vbz+bez+vrb++=is
generally ^rb+down+++=generally
beneficial ^jj+pred+++=beneficial.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
acknowledging ^vbg+++xvbg+=acknowledging
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
governance ^nn+nom+++=governance
as ^in++++=as
a ^at++++=a
core ^nn++++=core
responsibility ^nn+nom+++=responsibility
of ^in++++=of
nonprofit ^nn+++??+=nonprofit
organizations ^nns+nom+++=organizations
( ^zz++++=(NPOs),
npos ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
recommend ^vb+vsua+++=recommend
that ^tht+vcmp+++=that
decisions ^nns++++=decisions
regarding ^in++++=regarding
governance ^nn+nom+++=governance
activities ^nns+nom+++=activities
in ^in++++=in
Npos ^np+++??+=NPOs
be ^vb+be+aux++=be
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
an ^at++++=an
opportunity ^nn+nom+++=opportunity
cost ^nn++++=cost
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
demonstrable ^jj+atrb+++=demonstrable
benefits ^nns++++=benefits,
, ^zz++++=EXTRAWORD
governance ^nn+nom+++=governance-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
activities ^nns+nom+++=activities
such ^abl++++=such
as ^ql++++=as
audit ^vb+++??+=audit
procedures ^nns++++=procedures
may ^md+pos+++=may
divert ^vb++++=divert
resources ^nns++++=resources
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
organization ^nn+nom+++=organization
s ^zz++++=s
primary ^jj+atrb+++=primary
institutional ^jj+atrb+++=institutional
mission ^nn++++=mission.
. ^zz++++=EXTRAWORD
