Ert ^np+++??+=Ert
rk ^nn+++??+=rk
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
the ^ati++++=the
female ^jj+atrb+++=female
body ^nn++++=body
is ^vbz+bez+aux++=is
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
social ^jj+atrb+++=social
control ^nn++++=control
to ^to++++=to
ensure ^vbi+vprv+++=ensure
the ^ati++++=the
reproduction ^nn+nom+++=reproduction
of ^in++++=of
generations ^nns+nom+++=generations
according ^in++++=according
to ^in++++=to
specific ^jj+atrb+++=specific
societal ^nn+nom+++=societal
criteria ^nns++++=criteria.
. ^zz++++=EXTRAWORD
Historically ^rb+cnj+++=Historically,
, ^zz++++=EXTRAWORD
violence ^nn+nom+++=violence
against ^in++++=against
women ^nns++++=women
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
normalized ^vpsv++agls+xvbnx+=normalized
and ^cc+phrs+++=and
utilized ^vpsv++agls+xvbn+=utilized
as ^ql++++=as
a ^at++++=a
mechanism ^nn+nom+++=mechanism
to ^to++++=to
maintain ^vbi+vpub+++=maintain
the ^ati++++=the
division ^nn++++=division
of ^in++++=of
labor ^nn++++=labor
between ^in++++=between
genders ^nns+nom+++=genders.
. ^zz++++=EXTRAWORD
Empirical ^jj+atrb+++=Empirical
data ^nns++++=data
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
such ^abl++++=such
practices ^nns++++=practices
are ^vb+ber+vrb++=are
prevalent ^jj+pred+++=prevalent
globally ^rb++++=globally.
. ^zz++++=EXTRAWORD
Women ^nns++++=Women
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
vulnerable ^jj+pred+++=vulnerable
to ^in++++=to
violence ^nn+nom+++=violence
and ^cc++++=and
mortality ^nn+nom+++=mortality
in ^in++++=in
societies ^nns++++=societies
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
assigned ^vpsv++agls+xvbnx+=assigned
lower ^jjr+atrb+++=lower
value ^nn++++=value
and ^cc++++=and
afforded ^vwbn+++xvbn+=afforded
fewer ^ap++++=fewer
rights ^nns++++=rights
compared ^vbd+++xvbn+=compared
to ^in++++=to
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
gender ^nn++++=gender
imbalances ^nns+nom++??+=imbalances,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
a ^at++++=a
disproportionately ^rb++++=disproportionately
high ^jj+atrb+++=high
number ^nn++++=number
of ^in++++=of
males ^nns++++=males,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
have ^vb+hv+vrb++=have
significant ^jj+atrb+++=significant
negative ^jj+atrb+++=negative
consequences ^nns+nom+++=consequences
for ^in++++=for
society ^nn++++=society.
. ^zz++++=EXTRAWORD
