Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese
features ^nns++++=features
both ^abx++++=both
root ^nn++++=root
and ^cc++++=and
embedded ^vbd+++xvbn+=embedded
interrogative ^jj+atrb+++=interrogative
constructions ^nns+nom+++=constructions
introduced ^vwbn+++xvbn+=introduced
by ^in++++=by
the ^ati++++=the
element ^nn+nom+++=element
quem ^nn+++??+=quem,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
examples ^nns++++=examples
( ^zz++++=(34)
34 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(35),
35 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
