Based ^xvbn+++xvbn+=Based
on ^in++++=on
previous ^jj+atrb+++=previous
research ^nn++++=research
( ^zz++++=(Drovetta
drovetta ^nn+++??+=EXTRAWORD
2015a ^cd++++=2015a;
; ^zz++++=EXTRAWORD
2015b ^cd++++=2015b),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
proposed ^vpsv++agls+xvbnx+=proposed
that ^tht+vcmp+++=that
abortion ^nn+nom+++=abortion-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
stigma ^nn++++=stigma
is ^vbz+bez+vrb++=is
a ^at++++=a
significant ^jj+atrb+++=significant
factor ^nn++++=factor
that ^tht+rel+++=that
hinders ^nns+nom+++=hinders
access ^nn++++=access
to ^in++++=to
abortion ^nn+nom+++=abortion
services ^nns++++=services.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
stigma ^nn++++=stigma
affects ^vbz++++=affects
healthcare ^nn+++??+=healthcare
professionals ^nns+nom+++=professionals,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
may ^md+pos+++=may
fear ^vb++++=fear
experiencing ^vbg+++xvbg+=experiencing
negative ^jj+atrb+++=negative
social ^jj+atrb+++=social
or ^cc+phrs+++=or
professional ^jj+atrb+++=professional
consequences ^nns+nom+++=consequences
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
assist ^vb++++=assist
women ^nns++++=women
or ^cc++++=or
girls ^nns++++=girls
in ^in++++=in
obtaining ^vbg+++xvbg+=obtaining
a ^at++++=a
legally ^rb++++=legally
permitted ^jj+atrb+++=permitted
abortion ^nn+nom+++=abortion.
. ^zz++++=EXTRAWORD
