Socioeconomic ^np+++??+=Socioeconomic
status ^nn++++=status
indicators ^nns++++=indicators,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
Municipal ^jj+atrb+++=Municipal
Human ^jj+atrb+++=Human
Development ^nn+nom+++=Development
Index ^nn++++=Index
( ^zz++++=(MHDI),
mhdi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Income ^nn++++=Income
Concentration ^nn+nom+++=Concentration
Index ^nn++++=Index
( ^zz++++=(GINI
gini ^nn+++??+=EXTRAWORD
Index ^nn++++=Index),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
average ^jj+atrb+++=average
household ^nn++++=household
income ^nn++++=income
per ^nnu++++=per
capita ^nn+++??+=capita,
, ^zz++++=EXTRAWORD
percentage ^nn+nom+++=percentage
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population
earning ^vwbg+++xvbg+=earning
less ^rbr++++=less
than ^in++++=than
half ^abn++++=half
the ^ati++++=the
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage,
, ^zz++++=EXTRAWORD
unemployment ^nn+nom+++=unemployment
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
percentage ^nn+nom+++=percentage
of ^in++++=of
female ^jj++++=female-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
households ^nns++++=households,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Institute ^nn++++=Institute
of ^in++++=of
Geography ^nn++++=Geography
and ^cc++++=and
Statistics ^nn++++=Statistics
website ^nn++++=website.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Social ^jj+atrb+++=Social
Vulnerability ^np+nom++??+=Vulnerability
Index ^nn++++=Index
( ^zz++++=(SVI)
svi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
sourced ^jj+pred+++=sourced
from ^in++++=from
the ^ati++++=the
institute ^nn++++=Institute
of ^in++++=of
applied ^jj+atrb+++=Applied
economic ^jj+atrb+++=Economic
research ^nn++++=Research.
. ^zz++++=EXTRAWORD
