Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
59 ^cd++++=59
plant ^nn++++=plant
families ^nns++++=families
identified ^vwbn+++xvbn+=identified
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
area ^nn++++=area,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
species ^nn++++=species
within ^in++++=within
each ^dt++++=each
family ^nn++++=family
and ^cc++++=and
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
percentages ^nns+nom+++=percentages
of ^in++++=of
total ^jj+atrb+++=total
species ^nns++++=species
representation ^nn+nom+++=representation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Asteraceae ^np+++??+=Asteraceae
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
represented ^jj+atrb++xvbn+=represented
family ^nn++++=family,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
species ^nns++++=species.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+aux++=is
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
Poaceae ^np+++??+=Poaceae
with ^in++++=with
15.66 ^cd++++=15.66%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Fabaceae ^np+++??+=Fabaceae
with ^in++++=with
8.66 ^cd++++=8.66%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Solanaceae ^np+++??+=Solanaceae
with ^in++++=with
6 ^zz++++=6%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Verbenaceae ^np+++??+=Verbenaceae
with ^in++++=with
4 ^zz++++=4%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Chenopodiaceae ^np+++??+=Chenopodiaceae
with ^in++++=with
3.33 ^cd++++=3.33%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
47 ^cd++++=47
families ^nns++++=families
each ^dt++++=each
account ^nn++++=account
for ^in++++=for
less ^rbr++++=less
than ^in++++=than
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
species ^nns++++=species,
, ^zz++++=EXTRAWORD
including ^in++++=including
Zygophyllaceae ^np+++??+=Zygophyllaceae
( ^zz++++=(4
4 ^zz++++=EXTRAWORD
species ^nn++++=species,
, ^zz++++=EXTRAWORD
1.33% ^cd++++=1.33%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Anacardiaceae ^np+++??+=Anacardiaceae
( ^zz++++=(2
2 ^zz++++=EXTRAWORD
species ^nn++++=species,
, ^zz++++=EXTRAWORD
0.66% ^nn+++??+=0.66%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Elaeagnaceae ^np+++??+=Elaeagnaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species,
, ^zz++++=EXTRAWORD
0.33% ^nn+++??+=0.33%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
which ^whp+rel+pied++=which
exhibit ^vb++++=exhibit
a ^at++++=a
high ^jj+atrb+++=high
abundance ^nn+nom+++=abundance
of ^in++++=of
individuals ^nns+nom+++=individuals
despite ^in++++=despite
their ^pp$+pp3+++=their
low ^jj+atrb+++=low
species ^nn++++=species
richness ^nns+nom+++=richness.
. ^zz++++=EXTRAWORD
