During ^in++++=During
the ^ati++++=the
initial ^jj+atrb+++=initial
examination ^nn+nom+++=examination,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
detected ^vbd+++xvbn+=detected
species ^nns++++=species
were ^vbd+bed+vrb++=were
the ^ati++++=the
protozoa ^nn+++??+=protozoa
Giardia ^np+++??+=Giardia
duodenalis ^nns+++??+=duodenalis
( ^zz++++=(41.9%),
41.9% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Entamoeba ^np+++??+=Entamoeba
coli ^&fw++++=coli
( ^zz++++=(41.9%),
41.9% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Endolimax ^np+++??+=Endolimax
nana ^&fw++++=nana
( ^zz++++=(37.2%),
37.2% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
helminth ^nn+++??+=helminth
Hymenolepis ^np+++??+=Hymenolepis
nana ^&fw++++=nana
( ^zz++++=(23.3%).
23.3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
those ^dt+dem+++=those
reported ^jj+++xvbn+=reported
in ^in++++=in
previous ^jj+atrb+++=previous
studies ^nns++++=studies
involving ^vwbg+++xvbg+=involving
indigenous ^jj+atrb+++=indigenous
populations ^nns+nom+++=populations
from ^in++++=from
Paran ^np+++??+=Paran
and ^cc++++=and
other ^ap++++=other
regions ^nns++++=regions,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
most ^ap+emph+++=most
of ^in++++=of
these ^dt+dem+++=these
studies ^nns++++=studies
documented ^vwbn+++xvbn+=documented
a ^at++++=a
lower ^jjr+atrb+++=lower
prevalence ^nn+nom+++=prevalence
of ^in++++=of
H ^zz++++=H.
. ^zz++++=EXTRAWORD
nana ^&fw++++=nana.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
should ^md+nec+++=should
be ^vb+be+aux++=be
noted ^vpsv++agls+xvbnx+=noted
that ^tht+vcmp+++=that
the ^ati++++=the
Kato ^np+++??+=Kato-Katz
- ^zz++++=EXTRAWORD
katz ^nn+++??+=EXTRAWORD
method ^nn++++=method
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
employed ^vbd+++xvbn+=employed
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
parasitic ^jj+atrb+++=parasitic
load ^nn++++=load
of ^in++++=of
geohelminths ^nns+++??+=geohelminths,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
represents ^vbz++++=represents
a ^at++++=a
limitation ^nn+nom+++=limitation
in ^in++++=in
the ^ati++++=the
evaluation ^nn+nom+++=evaluation.
. ^zz++++=EXTRAWORD
