Regarding ^in++++=Regarding
growth ^nn++++=growth
habit ^nn++++=habit,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
species ^nn++++=species
were ^vbd+bed+vrb++=were
herbaceous ^jj+atrb+++=herbaceous
dicotyledons ^nns+++??+=dicotyledons,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
shrubs ^nns++++=shrubs
and ^cc++++=and
sub ^nn++++=sub-shrubs.
- ^zz++++=EXTRAWORD
shrubs ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Monocotyledonous ^np+++??+=Monocotyledonous
herbs ^nns++++=herbs
constituted ^vbd+++xvbn+=constituted
a ^at++++=a
smaller ^jjr+atrb+++=smaller
proportion ^nn+nom+++=proportion,
, ^zz++++=EXTRAWORD
with ^in++++=with
84 ^cd++++=84%
% ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+dem+++=these
belonging ^jj+++xvbg+=belonging
to ^in++++=to
the ^ati++++=the
Poaceae ^np+++??+=Poaceae
family ^nn++++=family.
. ^zz++++=EXTRAWORD
The ^ati++++=The
arboreal ^jj+atrb+++=arboreal
habit ^nn++++=habit
was ^vbd+bedz+aux++=was
the ^ati++++=the
least ^rb++++=least
represented ^vpsv++agls+xvbn+=represented
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
2b ^cd++++=2b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
