Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
analyzed ^vbd+++xvbn+=analyzed
the ^ati++++=the
joint ^jjb+atrb+++=joint
spatial ^jj+atrb+++=spatial
distribution ^nn+nom+++=distribution
of ^in++++=of
feminicide ^nn+++??+=feminicide
rates ^nns++++=rates
and ^cc++++=and
examined ^vbd+++xvbn+=examined
potential ^jj+atrb+++=potential
associations ^nns+nom+++=associations
between ^in++++=between
epidemiological ^jj+atrb+++=epidemiological
factors ^nns++++=factors
and ^cc++++=and
feminicide ^nn+++??+=feminicide
rates ^nns++++=rates
in ^in++++=in
the ^ati++++=the
municipalities ^nns+nom+++=municipalities
of ^in++++=of
the ^ati++++=the
state ^nn++++=State
of ^in++++=of
sergipe ^np++++=Sergipe,
, ^zz++++=EXTRAWORD
located ^vpsv++agls+xvbn+=located
in ^in++++=in
northeastern ^jj+atrb+++=northeastern
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
