If ^cs+cnd+++=If
a ^at++++=a
free ^jj+atrb+++=free
relative ^nn++++=relative
in ^in++++=in
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese
is ^vbz+bez+aux++=is
indeed ^rb++splt++=indeed
derived ^vpsv++agls+xvbnx+=derived
as ^in++++=as
proposed ^nn++++=proposed
in ^in++++=in
diagram ^nn++++=diagram
( ^zz++++=(46),
46 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
for ^in++++=for
the ^ati++++=the
C ^zz++++=C
head ^jjb++++=head
and ^cc++++=and
the ^ati++++=the
D ^zz++++=D
head ^jjb++++=head
involved ^jj+++xvbn+=involved
in ^in++++=in
the ^ati++++=the
relativization ^nn+nom+++=relativization
process ^nns+nom+++=process
to ^to++++=to
be ^vbi++vrb++=be
adjacent ^jj+pred+++=adjacent.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
adjacency ^nn+++??+=adjacency
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
account ^vb++++=account
for ^in+ppvb+++=for
the ^ati++++=the
head ^jjb+atrb+++=head
incorporation ^nn+nom+++=incorporation
process ^nns+nom+++=process,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
evidenced ^vpsv++by+xvbnx+=evidenced
by ^in++++=by
the ^ati++++=the
morphological ^jj+atrb+++=morphological
form ^nn++++=form
of ^in++++=of
the ^ati++++=the
wh ^nn++++=wh-element
- ^zz++++=EXTRAWORD
element ^nn+nom+++=EXTRAWORD
that ^tht+rel+subj++=that
introduces ^vbz++++=introduces
these ^dt+dem+++=these
structures ^nns++++=structures.
. ^zz++++=EXTRAWORD
