Statistical ^jj+atrb+++=Statistical
analyses ^nns++++=analyses:
: ^zz++++=EXTRAWORD
The ^ati++++=The
number ^nn++++=number
of ^in++++=of
contaminants ^nns+nom+++=contaminants
( ^zz++++=(individuals
individuals ^nns+nom+++=EXTRAWORD
ml ^nnu++++=mL
) ^zz++++=)
in ^in++++=in
thalli ^nn+++??+=thalli
culture ^nn++++=culture
medium ^jjb++++=medium
treated ^jj+++xvbn+=treated
with ^in++++=with
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
liquid ^jj+atrb+++=liquid
detergent ^nn++++=detergent
and ^cc++++=and
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
povidone ^nn+++??+=povidone
iodine ^nn+++??+=iodine
at ^rb++++=at
various ^jj+atrb+++=various
immersion ^nn++++=immersion
times ^nns++++=times
was ^vbd+bedz+aux++=was
compared ^vpsv++agls+xvbnx+=compared
to ^in++++=to
the ^ati++++=the
control ^nn++++=control
using ^vwbg+++xvbg+=using
a ^at++++=a
one ^cd1++++=one-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
analysis ^nn++++=analysis
of ^in++++=of
variance ^nn+nom+++=variance
( ^zz++++=(ANOVA).
anova ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
treatments ^nns+nom+++=treatments
with ^in++++=with
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
liquid ^jj+atrb+++=liquid
detergent ^nn++++=detergent
and ^cc++++=and
0.2 ^nn+++??+=0.2%
% ^zz++++=EXTRAWORD
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
at ^in++++=at
different ^jj+atrb+++=different
immersion ^nn++++=immersion
times ^nns++++=times,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mean ^jj+atrb+++=mean
numbers ^nns+nom+++=numbers
of ^in++++=of
ciliates ^nns+nom+++=ciliates,
, ^zz++++=EXTRAWORD
microcrustaceans ^nns+nom+++=microcrustaceans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nematodes ^nns+++??+=nematodes
between ^in++++=between
the ^ati++++=the
control ^nn++++=control
and ^cc++++=and
the ^ati++++=the
1 ^zz++++=1-minute
- ^zz++++=EXTRAWORD
minute ^nn++++=EXTRAWORD
treatment ^nn+nom+++=treatment
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
using ^vbg+++xvbg+=using
the ^ati++++=the
Mann ^np++++=Mann-Whitney
- ^zz++++=EXTRAWORD
whitney ^np++++=EXTRAWORD
test ^nn++++=test.
. ^zz++++=EXTRAWORD
The ^ati++++=The
numbers ^nns+nom+++=numbers
of ^in++++=of
annelids ^nns+++??+=annelids
among ^in++++=among
the ^ati++++=the
control ^nn++++=control
and ^cc++++=and
the ^ati++++=the
1 ^zz++++=1-,
- ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2 ^zz++++=2-,
- ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
5 ^zz++++=5-minute
- ^zz++++=EXTRAWORD
minute ^nn++++=EXTRAWORD
immersion ^nn++++=immersion
treatments ^nns+nom+++=treatments
were ^vbd+bed+aux++=were
analyzed ^vpsv++agls+xvbnx+=analyzed
using ^vbg+++xvbg+=using
anova ^np++++=ANOVA
followed ^vbd+vprv++xvbn+=followed
by ^in++++=by
tukey ^np++++=Tukey
s ^zz++++=s
post ^nn++++=post
hoc ^jj"+atrb+++=hoc
test ^nn++++=test.
. ^zz++++=EXTRAWORD
