P ^zz++++=P.
. ^zz++++=EXTRAWORD
patagonica ^nn+++??+=patagonica
and ^cc++++=and
G ^zz++++=G.
. ^zz++++=EXTRAWORD
filaginea ^nn+++??+=filaginea
are ^vb+ber+vrb++=are
native ^jj+atrb+++=native
species ^nns++++=species
that ^tht+rel+subj++=that
frequently ^rb++++=frequently
dominate ^nn+nom+++=dominate
extensive ^jj+atrb+++=extensive
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
locations ^nns+nom+++=locations
subjected ^vwbn+++xvbn+=subjected
to ^to++++=to
prolonged ^vbi++++=prolonged
intensive ^jj+atrb+++=intensive
grazing ^nn++++=grazing
or ^cc+cls+++=or
where ^wrb+who+++=where
recovery ^nn+nom+++=recovery
periods ^nns++++=periods
are ^vb+ber+vrb++=are
insufficient ^jj+pred+++=insufficient.
. ^zz++++=EXTRAWORD
