Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
six ^cd++++=six
of ^in++++=of
the ^ati++++=the
species ^nns++++=species
recorded ^vbd+++xvbn+=recorded
in ^in++++=in
the ^ati++++=the
Pnt ^np+++??+=PNT
( ^zz++++=(Allobates
allobates ^nns+nom+++=EXTRAWORD
olfersioides ^nns+++??+=olfersioides,
, ^zz++++=EXTRAWORD
Cycloramphus ^np+++??+=Cycloramphus
eleutherodactylus ^nns+++??+=eleutherodactylus,
, ^zz++++=EXTRAWORD
Scinax ^np+++??+=Scinax
trapicheiroi ^nn+++??+=trapicheiroi,
, ^zz++++=EXTRAWORD
Thoropa ^np+++??+=Thoropa
lutzi ^nn+++??+=lutzi,
, ^zz++++=EXTRAWORD
Vitreorana ^np+++??+=Vitreorana
eurygnatha ^nn+++??+=eurygnatha,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
V ^zz++++=V.
. ^zz++++=EXTRAWORD
uranoscopa ^nn+++??+=uranoscopa)
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
listed ^vpsv++agls+xvbnx+=listed
under ^in++++=under
some ^dti++++=some
category ^nn++++=category
of ^in++++=of
extinction ^nn+nom+++=extinction
threat ^nn++++=threat
( ^zz++++=(Bergallo
bergallo ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Icmbio ^np+++??+=ICMBIO
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
Iucn ^np+++??+=IUCN
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
populations ^nns+nom+++=populations
of ^in++++=of
15 ^cd++++=15
species ^nn++++=species
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
declining ^vbg+++xvbgx+=declining
( ^zz++++=(IUCN
iucn ^nn+++??+=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+dem+++=these
six ^cd++++=six
threatened ^xvbn+++xvbn+=threatened
species ^nns++++=species,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
S ^zz++++=S.
. ^zz++++=EXTRAWORD
trapicheiroi ^nn+++??+=trapicheiroi
was ^vbd+bedz+aux++=was
detected ^vpsv++agls+xvbnx+=detected
during ^in++++=during
our ^pp$+pp1+++=our
field ^nn++++=field
surveys ^nns++++=surveys.
. ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
trapicheiroi ^nn+++??+=trapicheiroi
is ^vbz+bez+aux++=is
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
Near ^in+pl+++=Near
Threatened ^nn++++=Threatened
by ^in++++=by
the ^ati++++=the
Iucn ^np+++??+=IUCN
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
restricted ^jj+atrb++xvbn+=restricted
area ^nn++++=area
of ^in++++=of
occurrence ^nn+nom+++=occurrence,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
less ^rbr++++=less
than ^in++++=than
20,000 ^cd++++=20,000
km ^nnu++++=km
( ^zz++++=(Rodrigues
rodrigues ^nns+++??+=EXTRAWORD
& ^zz++++=&
Carvalho ^np+++??+=Carvalho-e-Silva
- ^zz++++=EXTRAWORD
e ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
silva ^np++++=EXTRAWORD
2004 ^cd++++=2004),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
listed ^vpsv++agls+xvbnx+=listed
as ^ql++++=as
Least ^rbt++++=Least
Concern ^nn++++=Concern
in ^in++++=in
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
red ^jj+atrb+++=red
list ^nn++++=list
( ^zz++++=(ICMBIO
icmbio ^nn+++??+=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Verdade ^np+++??+=Verdade
and ^cc++++=and
Rodrigues ^np+++??+=Rodrigues
( ^zz++++=(2007)
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
synonymized ^jj+++xvbn+=synonymized
three ^cd++++=three
other ^ap++++=other
nominal ^jj+atrb+++=nominal
species ^nn++++=species
A ^at++++=A.
. ^zz++++=EXTRAWORD
alagoanus ^nns+++??+=alagoanus
( ^zz++++=(Bokermann,
bokermann ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1967 ^cd+date+++=1967),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
capixaba ^nn+++??+=capixaba
( ^zz++++=(Bokermann,
bokermann ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1967 ^cd+date+++=1967),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
A ^at++++=A.
. ^zz++++=EXTRAWORD
carioca ^nn+++??+=carioca
( ^zz++++=(Bokermann,
bokermann ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1967 ^cd+date+++=1967)
) ^zz++++=EXTRAWORD
with ^in++++=with
Allobates ^nns+nom++??+=Allobates
olfersioides ^nns+++??+=olfersioides
( ^zz++++=(Lutz,
lutz ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1925 ^cd+date+++=1925),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
extending ^vbg+++xvbg+=extending
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
A ^at++++=A.
. ^zz++++=EXTRAWORD
olfersioides ^nns+++??+=olfersioides
along ^in++++=along
much ^ap++++=much
of ^in++++=of
the ^ati++++=the
eastern ^jj+atrb+++=eastern
coast ^nn++++=coast
of ^in++++=of
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
from ^in++++=from
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
to ^in++++=to
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Alagoas ^np+++??+=Alagoas,
, ^zz++++=EXTRAWORD
a ^at++++=a
distance ^nn+nom+++=distance
of ^in++++=of
approximately ^rb+down+++=approximately
2,000 ^cd++++=2,000
km ^nnu++++=km.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Haddad ^np+++??+=Haddad
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
to ^to++++=to
recognize ^vbi+vprv+++=recognize
these ^dt+dem+++=these
geographically ^rb++++=geographically
separated ^xvbn+++xvbn+=separated
populations ^nns+nom+++=populations
as ^in++++=as
distinct ^jj+atrb+++=distinct
species ^nn++++=species:
: ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
olfersioides ^nns+++??+=olfersioides
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
capixaba ^nn+++??+=capixaba
in ^in++++=in
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
A ^at++++=A.
. ^zz++++=EXTRAWORD
alagoanus ^nns+++??+=alagoanus
in ^in++++=in
Alagoas ^np+++??+=Alagoas.
. ^zz++++=EXTRAWORD
Clarification ^nn+nom+++=Clarification
of ^in++++=of
whether ^cs+who+++=whether
these ^dt+dem+++=these
populations ^nns+nom+++=populations
represent ^vb++++=represent
distinct ^jj+atrb+++=distinct
species ^nn++++=species
or ^cc++++=or
lineages ^nns+nom+++=lineages
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
species ^nns++++=species
remains ^nns++++=remains
necessary ^jj++++=necessary
( ^zz++++=(Forti
forti ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
assessment ^nn+nom+++=assessment
of ^in++++=of
the ^ati++++=the
conservation ^nn+nom+++=conservation
status ^nn++++=status
of ^in++++=of
this ^dt+dem+++=this
amphibian ^nn++++=amphibian,
, ^zz++++=EXTRAWORD
Haddad ^np+++??+=Haddad
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
considered ^vbd+vprv++xvbn+=considered
only ^rb+down+++=only
A ^at++++=A.
. ^zz++++=EXTRAWORD
carioca ^nn+++??+=carioca
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
synonym ^nn++++=synonym
of ^in++++=of
A ^at++++=A.
. ^zz++++=EXTRAWORD
olfersioides ^nns+++??+=olfersioides,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
restricted ^vbd+++xvbn+=restricted
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
A ^at++++=A.
. ^zz++++=EXTRAWORD
olfersioides ^nns+++??+=olfersioides
to ^in++++=to
the ^ati++++=the
metropolitan ^jj+atrb+++=metropolitan
region ^nn++++=region
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
this ^dt+dem+++=this
taxonomic ^jj+atrb+++=taxonomic
arrangement ^nn+nom+++=arrangement,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reduction ^nn+nom+++=reduction
in ^in++++=in
area ^nn++++=area
of ^in++++=of
occurrence ^nn+nom+++=occurrence
to ^in++++=to
approximately ^rb+down+++=approximately
7,730 ^cd++++=7,730
km ^nnu++++=km
, ^zz++++=,
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
recent ^jj+atrb+++=recent
records ^nns++++=records
from ^in++++=from
several ^ap++++=several
localities ^nns+nom+++=localities
including ^in++++=including
the ^ati++++=the
Pnt ^np+++??+=PNT
over ^in++++=over
the ^ati++++=the
past ^jjb++++=past
30 ^cd++++=30
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ongoing ^jj+atrb++xvbg+=ongoing
habitat ^nn++++=habitat
degradation ^nn+nom+++=degradation
have ^vb+hv+aux++=have
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
the ^ati++++=the
classification ^nn+nom+++=classification
of ^in++++=of
this ^dt+pdem+++=this
species ^vbz++++=species
as ^ql++++=as
Vulnerable ^jj++++=Vulnerable
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
red ^jj+atrb+++=red
list ^nn++++=list
( ^zz++++=(ICMBIO
icmbio ^nn+++??+=EXTRAWORD
2018 ^cd++++=2018)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
iucn ^np++++=IUCN
red ^jj+atrb+++=Red
list ^nn++++=List
( ^zz++++=(2020).
2020 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
