Operationally ^np+++??+=Operationally,
, ^zz++++=EXTRAWORD
governance ^nn+nom+++=governance
is ^vbz+bez+aux++=is
conceptualized ^vpsv++agls+xvbnx+=conceptualized
as ^in++++=as
a ^at++++=a
second ^od++++=second-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
construct ^vb++++=construct,
, ^zz++++=EXTRAWORD
indicated ^vpbn+vprv++xvbn+=indicated
by ^in++++=by
the ^ati++++=the
dimensions ^nns++++=dimensions
identified ^vwbn+++xvbn+=identified
through ^in++++=through
Multiple ^jj+atrb+++=Multiple
Correspondence ^nn+nom+++=Correspondence
Analysis ^nn++++=Analysis
( ^zz++++=(MCA):
mca ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
Board ^nn++++=Board,
, ^zz++++=EXTRAWORD
Management ^nn+nom+++=Management,
, ^zz++++=EXTRAWORD
Fiscal ^jj+atrb+++=Fiscal
Council ^nn++++=Council,
, ^zz++++=EXTRAWORD
Transparency ^nn++++=Transparency,
, ^zz++++=EXTRAWORD
Accountability ^np+nom++??+=Accountability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Independent ^jj+atrb+++=Independent
Audit ^np+++??+=Audit.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
of ^in++++=of
these ^dt+dem+++=these
dimensions ^nns++++=dimensions
comprises ^vbz++++=comprises
specific ^jj+atrb+++=specific
governance ^nn+nom+++=governance
mechanisms ^nns+nom+++=mechanisms
derived ^vwbn+++xvbn+=derived
from ^in++++=from
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework.
. ^zz++++=EXTRAWORD
