Leaves ^vbz++++=Leaves
incurved ^vbd+++xvbn+=incurved,
, ^zz++++=EXTRAWORD
oblong ^jj++++=oblong-lanceolate
- ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=EXTRAWORD
with ^in++++=with
denticulate ^nn+nom+++=denticulate
margins ^nns++++=margins;
; ^zz++++=EXTRAWORD
leaf ^nn++++=leaf
cells ^nns++++=cells
papillose ^nn+++??+=papillose,
, ^zz++++=EXTRAWORD
each ^dt++++=each
bearing ^jj+++xvbg+=bearing
a ^at++++=a
papilla ^nn+++??+=papilla
on ^in++++=on
the ^ati++++=the
lumen ^nn++++=lumen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
is ^vbz+bez+vrb++=is
corticolous ^jj+pred+++=corticolous,
, ^zz++++=EXTRAWORD
rupicolous ^jj++++=rupicolous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
terricolous ^jj++++=terricolous
within ^in++++=within
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
Grande ^&fw++++=Grande
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
vulnerable ^jj++++=vulnerable
in ^in++++=in
the ^ati++++=the
atlantic ^np++++=Atlantic
forest ^nn++++=Forest
and ^cc++++=and
is ^vbz+bez+aux++=is
distributed ^vpsv++agls+xvbn+=distributed
throughout ^in++++=throughout
tropical ^jj+atrb+++=Tropical
america ^np++++=America.
. ^zz++++=EXTRAWORD
