Common ^jj+atrb+++=Common
rue ^npl++++=rue
should ^md+nec+++=should
be ^vb+be+aux++=be
cultivated ^vpsv++agls+xvbnx+=cultivated
in ^in++++=in
neutral ^nn++++=neutral,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-drained
- ^zz++++=EXTRAWORD
drained ^vbd+++xvbn+=EXTRAWORD
soils ^nns++++=soils
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
periodically ^rb++splt++=periodically
irrigated ^vpsv++agls+xvbnx+=irrigated
and ^cc+phrs+++=and
exposed ^vbd+++xvbn+=exposed
to ^in++++=to
full ^jj+atrb+++=full
sunlight ^nn++++=sunlight.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
established ^vwbn+vprv++xvbn+=established,
, ^zz++++=EXTRAWORD
the ^ati++++=the
plant ^nn++++=plant
exhibits ^nns++++=exhibits
tolerance ^nn+nom+++=tolerance
to ^in++++=to
drought ^nn++++=drought
but ^cc++++=but
is ^vbz+bez+vrb++=is
sensitive ^jj+pred+++=sensitive
to ^in++++=to
waterlogged ^jj+atrb+++=waterlogged
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
development ^nn+nom+++=development
is ^vbz+bez+vrb++=is
favorable ^&fw++++=favorable
in ^in++++=in
semi ^nn+++??+=semi-arid
- ^zz++++=EXTRAWORD
arid ^jj+atrb+++=EXTRAWORD
environments ^nns+nom+++=environments,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
can ^md+pos+++=can
grow ^vb++++=grow
in ^in++++=in
nutrient ^jj++++=nutrient-poor
- ^zz++++=EXTRAWORD
poor ^jj+atrb+++=EXTRAWORD
soils ^nns++++=soils
and ^cc++++=and
withstand ^vb++++=withstand
elevated ^jj+atrb++xvbn+=elevated
temperatures ^nns++++=temperatures
( ^zz++++=(Corr
corr ^nn+++??+=EXTRAWORD
a ^at++++=a
J ^zz++++=J
nior ^nn++++=nior
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
limited ^vpsv++agls+xvbnx+=limited
research ^nn++++=research
on ^in++++=on
various ^jj+atrb+++=various
agronomic ^nn++++=agronomic
aspects ^nns++++=aspects
of ^in++++=of
this ^dt+dem+++=this
species ^nn++++=species,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
regarding ^in++++=regarding
its ^pp$+it+++=its
response ^nn++++=response
to ^in++++=to
saline ^nn++++=saline
stress ^vb+vpub+++=stress.
. ^zz++++=EXTRAWORD
