Ciliates ^nns+nom++??+=Ciliates,
, ^zz++++=EXTRAWORD
microcrustaceans ^nns+nom+++=microcrustaceans,
, ^zz++++=EXTRAWORD
nematodes ^nns+++??+=nematodes,
, ^zz++++=EXTRAWORD
annelids ^nns+++??+=annelids,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
small ^jj+atrb+++=small
gastropods ^nns+++??+=gastropods
present ^vb++++=present
in ^in++++=in
samples ^nns++++=samples
of ^in++++=of
thalli ^nn+++??+=thalli
culture ^nn++++=culture
medium ^jjb++++=medium
from ^in++++=from
all ^abn++++=all
treatments ^nns+nom+++=treatments
and ^cc++++=and
the ^ati++++=the
control ^nn++++=control
were ^vbd+bed+aux++=were
quantified ^vpsv++agls+xvbnx+=quantified
using ^vbg+++xvbg+=using
stereoscopic ^jj+atrb+++=stereoscopic
and ^cc+phrs+++=and
optical ^jj+atrb+++=optical
microscopy ^nn++++=microscopy.
. ^zz++++=EXTRAWORD
Immersion ^nn++++=Immersion
treatments ^nns+nom+++=treatments
involving ^vwbg+++xvbg+=involving
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
liquid ^jj+atrb+++=liquid
detergent ^nn++++=detergent
for ^in++++=for
60 ^cd++++=60
seconds ^nns++++=seconds
followed ^vwbn+vprv++xvbn+=followed
by ^in++++=by
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
povidone ^nn+++??+=povidone
iodine ^nn+++??+=iodine
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
effective ^jj++++=effective
in ^in++++=in
eliminating ^xvbg+++xvbg+=eliminating
contaminants ^nns+nom+++=contaminants
from ^in++++=from
the ^ati++++=the
thalli ^nn+++??+=thalli
surface ^nn++++=surface,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
mean ^jj+atrb+++=mean
number ^nn++++=number
of ^in++++=of
contaminants ^nns+nom+++=contaminants
( ^zz++++=(individuals
individuals ^nns+nom+++=EXTRAWORD
ml ^nnu++++=mL
) ^zz++++=)
did ^vbd+dod+aux++=did
not ^xnot++not++=not
differ ^vb++++=differ
significantly ^rb++++=significantly
among ^in++++=among
these ^dt+dem+++=these
treatments ^nns+nom+++=treatments
and ^cc++++=and
the ^ati++++=the
control ^nn++++=control
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
