I ^pp1a+pp1+++=I
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
sentences ^nns+nom+++=sentences
such ^abl++++=such
as ^in++++=as
( ^zz++++=(1)a
1)a ^cd++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(1)b
1)b ^cd++++=EXTRAWORD
contain ^vb++++=contain
a ^at++++=a
free ^jj+atrb+++=free
relative ^jj+atrb+++=relative
clause ^nn++++=clause
that ^tht+rel+subj++=that
conveys ^vbz++++=conveys
appositive ^jj+atrb+++=appositive
content ^nn++++=content,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
constituting ^xvbg+++xvbg+=constituting
ordinary ^jj+atrb+++=ordinary
appositive ^jj+atrb+++=appositive
relative ^jj+atrb+++=relative
clauses ^nns++++=clauses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
purpose ^nn++++=purpose
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
discussion ^nn++++=discussion
is ^vbz+bez+vrb++=is
twofold ^jj+pred+++=twofold:
: ^zz++++=EXTRAWORD
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
to ^in++++=to
analyze ^nn+++??+=analyze
the ^ati++++=the
possible ^jj+atrb+++=possible
structure ^nn++++=structure
and ^cc++++=and
function ^nn+nom+++=function
of ^in++++=of
the ^ati++++=the
wh ^nn+++??+=wh-clauses
- ^zz++++=EXTRAWORD
clauses ^nns++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
utterances ^nns+nom+++=utterances;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
to ^to++++=to
demonstrate ^nn+nom+++=demonstrate
that ^tht+vcmp+++=that
these ^dt+dem+++=these
clauses ^nns++++=clauses
are ^vb+ber+vrb++=are
distinct ^jj+pred+++=distinct
from ^in++++=from
ordinary ^jj+atrb+++=ordinary
appositive ^jj+atrb+++=appositive
relative ^jj+atrb+++=relative
clauses ^nns++++=clauses,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
subordinate ^jj+atrb+++=subordinate
clause ^nn++++=clause
illustrated ^vwbn+++xvbn+=illustrated
in ^in++++=in
( ^zz++++=(2).
2 ^zz++++=EXTRAWORD
). ^nn++++=EXTRAWORD
