A ^at++++=A
historical ^jj+atrb+++=historical
review ^nn++++=review
of ^in++++=of
female ^jj+atrb+++=female
education ^nn+nom+++=education
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
legitimizing ^jj+atrb++xvbg+=legitimizing
myths ^nns++++=myths
that ^tht+rel+subj++=that
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
invisibility ^nn+nom+++=invisibility
of ^in++++=of
women ^nns++++=women
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
D&t ^np+++??+=D&T.
. ^zz++++=EXTRAWORD
Historically ^rb+cnj+++=Historically,
, ^zz++++=EXTRAWORD
female ^nn++++=female
education ^nn+nom+++=education
was ^vbd+bedz+aux++=was
shaped ^vpsv++by+xvbnx+=shaped
by ^in++++=by
patriarchal ^jj+atrb+++=patriarchal
structures ^nns++++=structures
that ^tht+rel+subj++=that
prioritized ^vprf+++xvbn+=prioritized
male ^jj+atrb+++=male
authority ^nn+nom+++=authority,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
during ^in++++=during
the ^ati++++=the
colonial ^jj+atrb+++=colonial
period ^nn++++=period.
. ^zz++++=EXTRAWORD
Ribeiro ^np+++??+=Ribeiro
( ^zz++++=(1987)
1987 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
notes ^vb++++=notes
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
formal ^jj+atrb+++=formal
education ^nn+nom+++=education
of ^in++++=of
women ^nns++++=women
was ^vbd+bedz+aux++=was
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
a ^at++++=a
social ^jj+atrb+++=social
transgression ^nn+++??+=transgression
in ^in++++=in
both ^abx++++=both
Portugal ^np+nom+++=Portugal
