Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
that ^tht+vcmp+++=that
these ^dt+dem+++=these
products ^nns++++=products
be ^vb+be+aux++=be
replaced ^vpsv++agls+xvbnx+=replaced
with ^in++++=with
natural ^jj+atrb+++=natural
alternatives ^nns++++=alternatives,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
lower ^jjr+atrb+++=lower
toxicity ^nn+nom+++=toxicity,
, ^zz++++=EXTRAWORD
greater ^jjr+atrb+++=greater
economic ^jj+atrb+++=economic
viability ^nn+nom+++=viability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
increased ^jj+atrb++xvbn+=increased
accessibility ^nn+nom+++=accessibility
for ^in++++=for
the ^ati++++=the
population ^nn+nom+++=population
( ^zz++++=(Volkart,
volkart ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Spagiari ^np+++??+=Spagiari,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Bizzani ^np+++??+=Bizzani,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
N ^zz++++=N
brega ^nn+++??+=brega,
, ^zz++++=EXTRAWORD
Dantas ^np+++??+=Dantas,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Silva ^np+++??+=Silva,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
plant ^nn++++=plant
species ^nns++++=species
utilized ^vbd+++xvbn+=utilized
is ^vbz+bez+vrb++=is
Libidibia ^np+++??+=Libidibia
ferrea ^nn+++??+=ferrea
( ^zz++++=(Fabaceae),
fabaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
native ^jj+pred+++=native
to ^in++++=to
the ^ati++++=the
Caatinga ^np+++??+=Caatinga
biome ^nn+++??+=biome
and ^cc++++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
from ^in++++=from
the ^ati++++=the
Northeast ^np+++??+=Northeast
to ^in++++=to
the ^ati++++=the
South ^np+pl+++=South
of ^in++++=of
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Commonly ^rb++++=Commonly
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
Pau ^np+++??+=Pau-ferro,
- ^zz++++=EXTRAWORD
ferro ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Pau ^np+++??+=Pau-ca
- ^zz++++=EXTRAWORD
ca ^np++++=EXTRAWORD
, ^zz++++=,
or ^cc+cls+++=or
Juc ^np+++??+=Juc
( ^zz++++=(Mota,
mota ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Ferreira ^np+++??+=Ferreira,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Ima ^np+++??+=Ima
a ^at++++=a,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Libidibia ^np+++??+=Libidibia
ferrea ^nn+++??+=ferrea
exhibits ^nns++++=exhibits
a ^at++++=a
range ^nn++++=range
of ^in++++=of
pharmacological ^jj+atrb+++=pharmacological
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
including ^in++++=including
antifungal ^nn+nom+++=antifungal,
, ^zz++++=EXTRAWORD
antibacterial ^jj++++=antibacterial,
, ^zz++++=EXTRAWORD
antiulcerogenic ^jj++++=antiulcerogenic,
, ^zz++++=EXTRAWORD
anti ^nn+++??+=anti-inflammatory,
- ^zz++++=EXTRAWORD
inflammatory ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
antidiabetic ^jj++++=antidiabetic,
, ^zz++++=EXTRAWORD
antitussive ^jj++++=antitussive,
, ^zz++++=EXTRAWORD
anti ^nn+++??+=anti-asthmatic,
- ^zz++++=EXTRAWORD
asthmatic ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
antianemic ^jj++++=antianemic,
, ^zz++++=EXTRAWORD
antidiarrheal ^jj++++=antidiarrheal,
, ^zz++++=EXTRAWORD
anticoagulant ^nn+nom+++=anticoagulant,
, ^zz++++=EXTRAWORD
analgesic ^jj++++=analgesic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wound ^nn+++xvbn+=wound-healing
- ^zz++++=EXTRAWORD
healing ^jj+atrb++xvbg+=EXTRAWORD
properties ^nns++++=properties.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
demonstrated ^vprf+++xvbnx+=demonstrated
larvicidal ^jj+atrb+++=larvicidal
activity ^nn+nom+++=activity
against ^in++++=against
Aedes ^np+++??+=Aedes
aegypti ^nn+++??+=aegypti
and ^cc++++=and
is ^vbz+bez+aux++=is
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
animal ^nn++++=animal
feed ^nn++++=feed,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
sheep ^nn++++=sheep
and ^cc++++=and
goat ^nn++++=goat
farming ^vwbg+++xvbg+=farming,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
prevalent ^jj+pred+++=prevalent
in ^in++++=in
rural ^jj+atrb+++=rural
areas ^nns++++=areas
where ^wrb+who+++=where
food ^nn++++=food
resources ^nns++++=resources
are ^vb+ber+aux++=are
limited ^vpsv++agls+xvbnx+=limited
( ^zz++++=(Gomes
gomes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Moreira ^np+++??+=Moreira
& ^zz++++=&
Oliveira ^np+++??+=Oliveira,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Reis ^np+++??+=Reis
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Pereira ^np+++??+=Pereira
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Hassan ^np+++??+=Hassan
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Freitas ^np++++=Freitas
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Magalh ^np+++??+=Magalh
es ^&fw++++=es
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
V ^zz++++=V
squez ^nn+++??+=squez,
, ^zz++++=EXTRAWORD
Mendon ^np+++??+=Mendon
a ^at++++=a,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Noda ^np+++??+=Noda,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Lima ^np++++=Lima
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
vasconcelos ^np++++=Vasconcelos
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
