During ^in++++=During
our ^pp$+pp1+++=our
fieldwork ^nn+++??+=fieldwork
in ^in++++=in
Serra ^np+++??+=Serra
da ^np++++=da
Bocaina ^np+++??+=Bocaina,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
identified ^vbd+++xvbn+=identified
a ^at++++=a
previously ^rb+tm+++=previously
undocumented ^jj+atrb++xvbn+=undocumented
species ^nns++++=species
of ^in++++=of
Vriesea ^np+++??+=Vriesea.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
provide ^vb+vsua+++=provide
a ^at++++=a
formal ^jj+atrb+++=formal
description ^nn+nom+++=description
and ^cc++++=and
illustration ^nn+nom+++=illustration
of ^in++++=of
this ^dt+dem+++=this
new ^jj+atrb+++=new
species ^nns++++=species.
. ^zz++++=EXTRAWORD
