Rates ^nns++++=Rates
are ^vb+ber+aux++=are
typically ^rb++splt++=typically
presented ^vpsv++agls+xvbnx+=presented
per ^nnu++++=per
10,000 ^cd++++=10,000
inhabitants ^nns+nom+++=inhabitants;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
this ^dt+dem+++=this
analysis ^nn++++=analysis
is ^vbz+bez+aux++=is
conducted ^vpsv++by+xvbnx+=conducted
by ^in++++=by
groups ^nns++++=groups
of ^in++++=of
causes ^nns++++=causes,
, ^zz++++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
which ^whp+rel+pied++=which
are ^vb+ber+vrb++=are
infrequent ^jj+pred+++=infrequent,
, ^zz++++=EXTRAWORD
the ^ati++++=the
base ^nn++++=base
was ^vbd+bedz+aux++=was
increased ^vpsv++agls+xvbnx+=increased
to ^to++++=to
100,000 ^cd++++=100,000
inhabitants ^nns+nom+++=inhabitants
to ^to++++=to
improve ^vbi++++=improve
interpretability ^nn+nom+++=interpretability.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
groups ^nns++++=groups
17 ^cd++++=17
and ^cc++++=and
19 ^cd++++=19
in ^in++++=in
the ^ati++++=the
classification ^nn+nom+++=classification
correspond ^vb++++=correspond
exclusively ^rb++++=exclusively
to ^in++++=to
female ^jj++++=female-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
causes ^nns++++=causes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
denominator ^nn++++=denominator
for ^in++++=for
these ^dt+dem+++=these
rates ^nns++++=rates
was ^vbd+bedz+aux++=was
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
the ^ati++++=the
female ^jj+atrb+++=female
population ^nn+nom+++=population.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
overall ^jjb+atrb+++=overall
rate ^nn++++=rate
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
as ^ql++++=as
the ^ati++++=the
sum ^nn++++=sum
of ^in++++=of
the ^ati++++=the
rates ^nns++++=rates
for ^in++++=for
each ^dt++++=each
group ^nn++++=group,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
following ^jj+atrb+++=following
formula ^nn++++=formula:
: ^zz++++=EXTRAWORD
< ^zz++++=<>
> ^zz++++=EXTRAWORD
