Sediment ^np+nom++??+=Sediment
and ^cc++++=and
various ^jj+atrb+++=various
mangrove ^nn+++??+=mangrove
organisms ^nns+nom+++=organisms,
, ^zz++++=EXTRAWORD
including ^in++++=including
microalgae ^nn+++??+=microalgae,
, ^zz++++=EXTRAWORD
protozoa ^nn+++??+=protozoa,
, ^zz++++=EXTRAWORD
fungi ^nns++++=fungi,
, ^zz++++=EXTRAWORD
nematodes ^nns+++??+=nematodes,
, ^zz++++=EXTRAWORD
microcrustaceans ^nns+nom+++=microcrustaceans,
, ^zz++++=EXTRAWORD
annelids ^nns+++??+=annelids,
, ^zz++++=EXTRAWORD
small ^jj+atrb+++=small
molluscs ^nns+++??+=molluscs,
, ^zz++++=EXTRAWORD
chironomid ^nn+++??+=chironomid
larvae ^nn+++??+=larvae,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trombiculid ^nn+++??+=trombiculid
mites ^nns++++=mites,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
Bostrychietum ^np+++??+=Bostrychietum
( ^zz++++=(Garc
garc ^nn+++??+=EXTRAWORD
a ^at++++=a
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Vieira ^np++++=Vieira
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
epiphytic ^jj+atrb+++=epiphytic
macroalgae ^nn+++??+=macroalgae
and ^cc++++=and
endophytic ^jj+atrb+++=endophytic
fungi ^nns++++=fungi
may ^md+pos+++=may
also ^rb++++=also
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
Bostrychia ^np+++??+=Bostrychia
species ^nn++++=species
( ^zz++++=(De
de ^&fw++++=EXTRAWORD
Fel ^np+++??+=Fel
cio ^nn+++??+=cio
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
establishing ^vbg+++xvbg+=establishing
laboratory ^nn++++=laboratory
cultures ^nns++++=cultures
of ^in++++=of
Bostrychia ^np+++??+=Bostrychia
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
are ^vb+ber+vrb++=are
free ^jj+pred+++=free
from ^in++++=from
contaminating ^jj+atrb+++=contaminating
organisms ^nns+nom+++=organisms
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
unialgal ^jj+atrb+++=unialgal
cultures ^nns++++=cultures)
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
challenging ^vbg+++xvbgx+=challenging,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
need ^nn++++=need
for ^in++++=for
surface ^nn++++=surface
decontamination ^nn+nom+++=decontamination
protocols ^nns++++=protocols
specifically ^rb++++=specifically
adapted ^vpsv++agls+xvbn+=adapted
for ^in++++=for
bostrychia ^np++++=Bostrychia
species ^nn++++=species.
. ^zz++++=EXTRAWORD
