Although ^cs+con+++=Although
such ^abl++++=such
amounts ^nns++++=amounts
may ^md+pos+++=may
appear ^vb+seem+++=appear
de ^&fw++++=de
minimis ^nns+++??+=minimis
from ^in++++=from
a ^at++++=a
legal ^jj+atrb+++=legal
perspective ^nn++++=perspective
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
not ^xnot++not++=not
worth ^in++++=worth
pursuing ^xvbg+++xvbg+=pursuing,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
align ^nn+++??+=align
with ^in++++=with
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
Eli ^np+++??+=Eli
Maclaren ^np++++=MacLaren
s ^zz++++=s
study ^nn++++=study
on ^in++++=on
Canadian ^nn++++=Canadian
poets ^nns++++=poets
income ^nn++++=income,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
royalty ^nn++++=royalty
payments ^nns+nom+++=payments
constituted ^vbd+++xvbn+=constituted
only ^rb+down+++=only
two ^cd++++=two
percent ^nnu++++=percent
of ^in++++=of
their ^pp$+pp3+++=their
income ^nn++++=income,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
many ^ap++++=many
poets ^nns++++=poets
emphasized ^vbd+vpub++xvbn+=emphasized
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
the ^ati++++=the
validation ^nn+nom+++=validation
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
even ^rb++++=even
minimal ^jj+atrb+++=minimal
financial ^jj+atrb+++=financial
compensation ^nn+nom+++=compensation
( ^zz++++=(MacLaren,
maclaren ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
20 ^cd++++=20).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
three ^cd++++=three-step
- ^zz++++=EXTRAWORD
step ^vb++++=EXTRAWORD
syllabus ^nn++++=syllabus
rule ^nn++++=rule
is ^vbz+bez+aux++=is
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
offer ^vbi++++=offer
both ^abx++++=both
recognition ^nn+nom+++=recognition
to ^in++++=to
poets ^nns++++=poets
and ^cc++++=and
acknowledgment ^nn+nom+++=acknowledgment
to ^in++++=to
academics ^nns++++=academics.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
current ^jj+atrb+++=current
annual ^jj+atrb+++=annual
fee ^nn++++=fee
of ^in++++=of
$ ^zz++++=$1.40
1.40 ^cd++++=EXTRAWORD
per ^in++++=per
student ^nn++++=student
has ^vbz+hvz+vrb++=has
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
increase ^vbi++++=increase
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
remains ^vbz++++=remains
substantially ^rb++++=substantially
lower ^jjr++++=lower
than ^in++++=than
the ^ati++++=the
$ ^zz++++=$26.00
26.00 ^cd++++=EXTRAWORD
per ^in++++=per
student ^nn++++=student
fee ^nn++++=fee
that ^tht+rel+++=that
Access ^nn++++=Access
Copyright ^np+++??+=Copyright
is ^vbz+bez+aux++=is
presently ^rb+tm+splt++=presently
seeking ^vbg+++xvbgx+=seeking
from ^in++++=from
the ^ati++++=the
canadian ^jj+atrb+++=Canadian
copyright ^np++++=Copyright
board ^nn++++=Board
( ^zz++++=(Copyright
copyright ^nn++++=EXTRAWORD
board ^nn++++=Board,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
