Historical ^jj+atrb+++=Historical
evidence ^nn+nom+++=evidence
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
public ^jj+atrb+++=public
policies ^nns++++=policies
alone ^rb++++=alone
are ^vb+ber+vrb++=are
insufficient ^jj+pred+++=insufficient
to ^to+jcmp+++=to
ensure ^vbi+vprv+++=ensure
equitable ^jj+atrb+++=equitable
access ^nn++++=access
to ^in++++=to
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
improved ^jj+atrb++xvbn+=improved
employment ^nn+nom+++=employment
opportunities ^nns+nom+++=opportunities,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
enhanced ^jj+atrb++xvbn+=enhanced
quality ^nn+nom+++=quality
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
the ^ati++++=the
availability ^nn+nom+++=availability
of ^in++++=of
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education
in ^in++++=in
Brazil ^np++++=Brazil
did ^vbd+dod+aux++=did
not ^xnot++not++=not
meet ^vb++++=meet
demand ^nn++++=demand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
access ^nn++++=access
remained ^vbd+++xvbn+=remained
particularly ^rb++++=particularly
challenging ^jj+++xvbg+=challenging
for ^in++++=for
individuals ^nns+nom+++=individuals
residing ^vwbg+++xvbg+=residing
in ^in++++=in
slums ^nns++++=slums
or ^cc++++=or
remote ^jj+atrb+++=remote
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
The ^ati++++=The
onset ^nn++++=onset
of ^in++++=of
the ^ati++++=the
pandemic ^jj++++=pandemic
further ^jjb++++=further
exposed ^jj+++xvbn+=exposed
and ^cc+phrs+++=and
intensified ^jj+++xvbn+=intensified
existing ^jj+atrb++xvbg+=existing
structural ^jj+atrb+++=structural
barriers ^nns+nom+++=barriers
to ^in++++=to
the ^ati++++=the
universalization ^nn+nom+++=universalization
of ^in++++=of
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education
in ^in++++=in
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
barriers ^nns+nom+++=barriers
include ^vb++++=include
disparities ^nns+nom+++=disparities
in ^in++++=in
access ^nn++++=access
to ^in++++=to
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(ICT),
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
limited ^jj+atrb++xvbn+=limited
internet ^nn+++??+=internet
connectivity ^nn+nom+++=connectivity,
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
unemployment ^nn+nom+++=unemployment,
, ^zz++++=EXTRAWORD
reduced ^xvbn+++xvbn+=reduced
household ^nn++++=household
income ^nn++++=income,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
additional ^jj+atrb+++=additional
competing ^jj+atrb++xvbg+=competing
responsibilities ^nns+nom+++=responsibilities.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
crisis ^nn++++=crisis
has ^vbz+hvz+aux++=has
therefore ^rb+cnj+splt++=therefore
exacerbated ^vprf+++xvbnx+=exacerbated
longstanding ^jj+atrb++xvbg+=longstanding
issues ^nns++++=issues
related ^vbd+++xvbn+=related
to ^in++++=to
social ^jj+atrb+++=social
inequality ^nn+nom+++=inequality,
, ^zz++++=EXTRAWORD
unequal ^jj+atrb+++=unequal
income ^nn++++=income
distribution ^nn+nom+++=distribution,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
inadequate ^jj+atrb+++=inadequate
quality ^nn+nom+++=quality
of ^in++++=of
public ^jj+atrb+++=public
education ^nn+nom+++=education
in ^in++++=in
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
