Several ^ap++++=Several
amphibian ^nn++++=amphibian
and ^cc++++=and
reptile ^nn+++??+=reptile
species ^nns++++=species
of ^in++++=of
interest ^nn++++=interest
are ^vb+ber+aux++=are
present ^vb++++=present
in ^in++++=in
the ^ati++++=the
Pnt ^np+++??+=PNT,
, ^zz++++=EXTRAWORD
including ^in++++=including
taxa ^nn+++??+=taxa
endemic ^jj++++=endemic
to ^in++++=to
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
or ^cc++++=or
to ^in++++=to
the ^ati++++=the
state ^nn++++=state
and ^cc++++=and/or
municipality ^nn+nom+++=municipality
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
species ^nns++++=species
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
threatened ^vpsv++agls+xvbnx+=threatened
with ^in++++=with
extinction ^nn+nom+++=extinction
or ^cc++++=or
experiencing ^nvbg+++xvbg+=experiencing
population ^nn+nom+++=population
declines ^vbz++++=declines.
. ^zz++++=EXTRAWORD
The ^ati++++=The
occurrence ^nn+nom+++=occurrence
of ^in++++=of
these ^dt+dem+++=these
taxa ^nn+++??+=taxa
highlights ^nns++++=highlights
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
the ^ati++++=the
park ^nn++++=park
for ^in++++=for
the ^ati++++=the
conservation ^nn+nom+++=conservation
of ^in++++=of
regional ^jj+atrb+++=regional
herpetofauna ^nn+++??+=herpetofauna.
. ^zz++++=EXTRAWORD
The ^ati++++=The
substantial ^jj+atrb+++=substantial
diversity ^nn+nom+++=diversity
of ^in++++=of
reptiles ^nns++++=reptiles
and ^cc++++=and
amphibians ^nns++++=amphibians
documented ^vwbn+++xvbn+=documented
in ^in++++=in
the ^ati++++=the
Pnt ^np+++??+=PNT
also ^rb++++=also
indicates ^nns+nom+++=indicates
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
the ^ati++++=the
reforestation ^nn+nom+++=reforestation
program ^vb+++??+=program
implemented ^vbd+++xvbn+=implemented
in ^in++++=in
this ^dt+dem+++=this
protected ^jj+atrb++xvbn+=protected
area ^nn++++=area,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
currently ^rb++++=currently
serves ^vbz++++=serves
as ^in++++=as
an ^at++++=an
important ^jj+atrb+++=important
refuge ^nn++++=refuge
for ^in++++=for
both ^abx++++=both
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
of ^in++++=of
this ^dt+dem+++=this
inventory ^nn++++=inventory,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
recorded ^vbd+vpub++xvbn+=recorded
a ^at++++=a
total ^nn++++=total
of ^in++++=of
74 ^cd++++=74
species ^nn++++=species,
, ^zz++++=EXTRAWORD
represent ^vb++++=represent
the ^ati++++=the
first ^rb++++=first
comprehensive ^jj+atrb+++=comprehensive
published ^jj+atrb++xvbn+=published
assessment ^nn+nom+++=assessment
of ^in++++=of
the ^ati++++=the
composition ^nn+nom+++=composition
and ^cc++++=and
abundance ^nn+nom+++=abundance
of ^in++++=of
the ^ati++++=the
herpetofauna ^nn++++=herpetofauna
in ^in++++=in
parque ^np++++=Parque
nacional ^np+nom+++=Nacional
da ^np++++=da
tijuca ^np++++=Tijuca.
. ^zz++++=EXTRAWORD
