While ^cs+sub+++=While
children ^nns++++=children
engage ^vb++++=engage
in ^in++++=in
free ^jj+atrb+++=free
interaction ^nn+nom+++=interaction
with ^in++++=with
their ^pp$+pp3+++=their
environment ^nn+nom+++=environment
and ^cc++++=and
peers ^nns++++=peers,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^in++++=as
" ^zz++++="educators"
educators ^nns++++=EXTRAWORD
" ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
observe ^vb+vprv+tht0++=observe
the ^ati++++=the
children ^nns++++=children's
's ^vbz+bez+vrb++0=EXTRAWORD
spontaneous ^jj+atrb+++=spontaneous
play ^nn++++=play.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
pedagogical ^jj+atrb+++=pedagogical
framework ^nn++++=framework
outlined ^vbd+++xvbn+=outlined
in ^in++++=in
Demmuring ^np+++??+=Demmuring
Childhood ^nn+nom+++=Childhood,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
emphasis ^nn++++=emphasis
on ^in++++=on
preserving ^xvbg+++xvbg+=preserving
both ^abx++++=both
nature ^nn++++=nature
and ^cc++++=and
childhood ^nn+nom+++=childhood.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
advocates ^nns+nom+++=advocates
for ^in++++=for
protecting ^xvbg+++xvbg+=protecting
the ^ati++++=the
" ^zz++++="natural
natural ^jj+atrb+++=EXTRAWORD
child ^nn++++=child"
" ^zz++++=EXTRAWORD
from ^in++++=from
adult ^jj++++=adult-driven
- ^zz++++=EXTRAWORD
driven ^vbd+++xvbn+=EXTRAWORD
pedagogical ^jj+atrb+++=pedagogical
interventions ^nns+nom+++=interventions,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
often ^rb++splt++=often
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
adherence ^nn+nom+++=adherence
to ^in++++=to
the ^ati++++=the
" ^zz++++="cognitive
cognitive ^jj+atrb+++=EXTRAWORD
development ^nn+nom+++=development
paradigm ^nn++++=paradigm,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
belief ^nn++++=belief
that ^tht+ncmp+++=that
" ^zz++++="learning
learning ^vbg+vprv++xvbg+=EXTRAWORD
only ^rb+down+++=only
occurs ^vbz++++=occurs
when ^wrb+who+++=when
the ^ati++++=the
body ^nn++++=body
is ^vbz+bez+aux++=is
sitting ^vbg+++xvbgx+=sitting
still ^jj+pred+++=still,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
notion ^nn++++=notion
that ^tht+ncmp+++=that
" ^zz++++="the
the ^ati++++=EXTRAWORD
classroom ^nn++++=classroom
is ^vbz+bez+vrb++=is
the ^ati++++=the
central ^jj+atrb+++=central
setting ^nn++++=setting
for ^in++++=for
educational ^jj+atrb+++=educational
activities ^nns+nom+++=activities."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
