Testing ^nvbg+++xvbg+=Testing
is ^vbz+bez+aux++=is
conducted ^vpsv++agls+xvbnx+=conducted
based ^vbd+++xvbn+=based
on ^in++++=on
the ^ati++++=the
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that
the ^ati++++=the
coefficient ^nn++++=coefficient
( ^zz++++=(
) ^zz++++=)
of ^in++++=of
the ^ati++++=the
1 ^zz++++=1
variable ^nn++++=variable
is ^vbz+bez+vrb++=is
less ^rbr++++=less
than ^in++++=than
or ^cc++++=or
equal ^jj++++=equal
to ^to++++=to
zero ^cd++++=zero.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
null ^jj+atrb+++=null
hypothesis ^nn++++=hypothesis
posits ^nns+++??+=posits
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
a ^at++++=a
cointegrating ^jj+atrb++xvbg+=cointegrating
relationship ^nn+nom+++=relationship,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
alternative ^jj+atrb+++=alternative
hypothesis ^nn++++=hypothesis
suggests ^vbz+vpub+++=suggests
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
such ^abl++++=such
a ^at++++=a
relationship ^nn+nom+++=relationship.
. ^zz++++=EXTRAWORD
To ^to++++=To
evaluate ^nn+nom+++=evaluate
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
model ^nn++++=model
is ^vbz+bez+aux++=is
estimated ^vpsv++agls+xvbnx+=estimated
and ^cc++++=and
the ^ati++++=the
statistical ^jj+atrb+++=statistical
significance ^nn+nom+++=significance
of ^in++++=of
the ^ati++++=the
coefficient ^nn++++=coefficient
associated ^jj++++=associated
with ^in++++=with
1 ^zz++++=1
is ^vbz+bez+aux++=is
tested ^xvbn+++xvbn+=tested.
. ^zz++++=EXTRAWORD
