Specifically ^rb++++=Specifically
regarding ^in++++=regarding
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
quem ^nn++++=quem
found ^vbd+vprv++xvbn+=found
in ^in++++=in
sentences ^nns+nom+++=sentences
such ^abl++++=such
as ^in++++=as
( ^zz++++=(25),
25 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Rocha ^np+++??+=Rocha
( ^zz++++=(1990)
1990 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
it ^pp3+it+++=it
results ^nns++++=results
from ^in++++=from
a ^at++++=a
process ^nns+nom+++=process
of ^in++++=of
morphological ^jj+atrb+++=morphological
amalgamation ^nn+nom+++=amalgamation,
, ^zz++++=EXTRAWORD
whereby ^cs+sub+++=whereby
a ^at++++=a
relative ^jj+atrb+++=relative
pronoun ^nn++++=pronoun
and ^cc++++=and
its ^pp$+it+++=its
antecedent ^jj+atrb+++=antecedent
noun ^nn++++=noun
are ^vb+ber+aux++=are
combined ^vpsv++agls+xvbnx+=combined
into ^in++++=into
a ^at++++=a
single ^jj+atrb+++=single
lexical ^jj+atrb+++=lexical
item ^nn++++=item.
. ^zz++++=EXTRAWORD
this ^dt+dem+++=This
process ^nns+nom+++=process
is ^vbz+bez+aux++=is
illustrated ^vpsv++agls+xvbn+=illustrated
in ^in++++=in
the ^ati++++=the
representation ^nn+nom+++=representation
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
