Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
the ^ati++++=the
genera ^nns++++=genera
identified ^vwbn+++xvbn+=identified
have ^vb+hv+vrb++=have
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
be ^vbi+vbi+aux++=be
utilized ^vpsv++agls+xvbnx+=utilized
in ^in++++=in
the ^ati++++=the
municipality ^nn+nom+++=municipality
s ^zz++++=s
agricultural ^jj+atrb+++=agricultural
crops ^nns++++=crops
to ^to++++=to
improve ^vbi++++=improve
agricultural ^jj+atrb+++=agricultural
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
preserve ^nn++++=preserve
soil ^nn++++=soil
health ^nn++++=health
and ^cc++++=and
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
specifically ^rb++++=specifically
reduce ^vb++++=reduce
the ^ati++++=the
reliance ^nn+nom+++=reliance
on ^in++++=on
phosphorus ^nns++++=phosphorus-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
chemical ^jj+atrb+++=chemical
inputs ^nns++++=inputs.
. ^zz++++=EXTRAWORD
