Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
The ^ati++++=The
spatial ^jj+atrb+++=spatial
distribution ^nn+nom+++=distribution
of ^in++++=of
femicide ^nn+++??+=femicide
rates ^nns++++=rates
exhibited ^vbd+++xvbn+=exhibited
significant ^jj+atrb+++=significant
spatial ^jj+atrb+++=spatial
autocorrelation ^nn+nom+++=autocorrelation,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
non ^&fw++++=non-random
- ^zz++++=EXTRAWORD
random ^rb++++=EXTRAWORD
pattern ^nn++++=pattern
with ^in++++=with
a ^at++++=a
concentration ^nn+nom+++=concentration
of ^in++++=of
municipalities ^nns+nom+++=municipalities
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
mortality ^nn+nom+++=mortality
rates ^nns++++=rates
due ^jj++++=due
to ^to+jcmp+++=to
femicide ^vb+++??+=femicide
in ^in++++=in
the ^ati++++=the
central ^jj+atrb+++=central
region ^nn++++=region
of ^in++++=of
Sergipe ^np+++??+=Sergipe
State ^nn++++=State.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
multiple ^jj+atrb+++=multiple
regression ^nn++++=regression
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
both ^abx++++=both
the ^ati++++=the
percentage ^nn+nom+++=percentage
of ^in++++=of
female ^jj++++=female-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
households ^nns++++=households
and ^cc++++=and
the ^ati++++=the
Municipal ^jj+atrb+++=Municipal
Human ^jj+atrb+++=Human
Development ^nn+nom+++=Development
Index ^nn++++=Index
were ^vbd+bed+aux++=were
positively ^rb++splt++=positively
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
femicide ^nn+++??+=femicide
rates ^nns++++=rates
in ^in++++=in
the ^ati++++=the
municipalities ^nns+nom+++=municipalities
of ^in++++=of
Sergipe ^np+++??+=Sergipe
during ^in++++=during
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
0.05 ^nn+++??+=0.05).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Gini ^np+++??+=GINI
Index ^nn++++=Index
Demonstrated ^vbd+vprv++xvbn+=demonstrated
A ^at++++=a
Negative ^jj+atrb+++=negative
Association ^nn+nom+++=association
With ^in++++=with
Femicide ^nn++++=femicide
Rates ^nns++++=rates.
 ^zz++++=EXTRAWORD
