Another ^dt++++=Another
common ^jj++++=common
issue ^vb++++=issue
identified ^vbd+++xvbn+=identified
was ^vbd+bedz+vrb++=was
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
transparency ^nn++++=transparency
regarding ^in++++=regarding
the ^ati++++=the
composition ^nn+nom+++=composition
of ^in++++=of
document ^nn+nom+++=document
development ^nn+nom+++=development
teams ^nns++++=teams.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
ten ^cd++++=ten
plans ^nns++++=plans
included ^vbd+++xvbn+=included
descriptions ^nns+nom+++=descriptions
of ^in++++=of
the ^ati++++=the
authors ^nns++++=authors'
' ^zz++++=EXTRAWORD
professional ^jj+atrb+++=professional
backgrounds ^nns++++=backgrounds,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
notable ^jj+atrb+++=notable
predominance ^nn+nom+++=predominance
of ^in++++=of
technicians ^nns++++=technicians.
. ^zz++++=EXTRAWORD
The ^ati++++=The
involvement ^nn+nom+++=involvement
of ^in++++=of
researchers ^nns+nom+++=researchers
and ^cc++++=and
educators ^nns++++=educators
in ^in++++=in
the ^ati++++=the
preparation ^nn+nom+++=preparation
of ^in++++=of
these ^dt+dem+++=these
documents ^nns+nom+++=documents
was ^vbd+bedz+vrb++=was
either ^dtx++++=either
minimal ^jj++++=minimal
or ^cc++++=or
not ^xnot++not++=not
reported ^vbd+vpub++xvbn+=reported,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
exceptions ^nns+nom+++=exceptions
of ^in++++=of
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo(16 ^np+++??+=Santo(16)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Piau ^np+++??+=Piau
( ^zz++++=(19).
19 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
References ^nns+nom+++=References
to ^in++++=to
community ^nn+nom+++=community
participation ^nn+nom+++=participation
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
exclusively ^rb++++=exclusively
in ^in++++=in
Par ^&fw++++=Par
. ^zz++++=.
This ^dt+dem+++=This
lack ^nn++++=lack
of ^in++++=of
comprehensive ^jj+atrb+++=comprehensive
stakeholder ^jjr+atrb+++=stakeholder
engagement ^nn+nom+++=engagement
in ^in++++=in
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
the ^ati++++=the
plans ^nns++++=plans
may ^md+pos+++=may
hinder ^vb++++=hinder
efforts ^nns++++=efforts
to ^to+ncmp+++=to
raise ^vbi++++=raise
public ^jj+atrb+++=public
awareness ^nns+nom+++=awareness
and ^cc++++=and
foster ^jjb+atrb+++=foster
community ^nn+nom+++=community
involvement ^nn+nom+++=involvement,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
a ^at++++=a
disconnect ^nn++++=disconnect
between ^in++++=between
the ^ati++++=the
scientific ^jj+atrb+++=scientific
community ^nn+nom+++=community
and ^cc++++=and
the ^ati++++=the
public ^jj+atrb+++=public
policy ^nn++++=policy
development ^nn+nom+++=development
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
