Data ^nns++++=Data
were ^vbd+bed+aux++=were
presented ^vpsv++agls+xvbnx+=presented
as ^ql++++=as
mean ^vb+vprv+++=mean
values ^nns++++=values
standard ^jj+atrb+++=standard
deviation ^nn+nom+++=deviation
and ^cc++++=and
as ^in++++=as
frequency ^nn++++=frequency
percentages ^nns+nom+++=percentages
( ^zz++++=(%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
Sigmaplot ^np+++??+=SigmaPlot
software ^nn+++??+=software
( ^zz++++=(Systat
systat ^nn+++??+=EXTRAWORD
Software ^np+++??+=Software,
, ^zz++++=EXTRAWORD
Inc ^jj++++=Inc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
version ^nn++++=version
12.0 ^cd++++=12.0).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Following ^jj+atrb++xvbg+=Following
assessment ^nn+nom+++=assessment
of ^in++++=of
parametric ^jj+atrb+++=parametric
assumptions ^nns+nom+++=assumptions
and ^cc++++=and
statistical ^jj+atrb+++=statistical
differences ^nns+nom+++=differences
among ^in++++=among
experimental ^jj+atrb+++=experimental
groups ^nns++++=groups
for ^in++++=for
the ^ati++++=the
variables ^nns++++=variables
studied ^vbd+++xvbn+=studied,
, ^zz++++=EXTRAWORD
comparative ^jj+atrb+++=comparative
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
between ^in++++=between
microorganisms ^nns+nom+++=microorganisms
and ^cc++++=and
both ^abx++++=both
the ^ati++++=the
decoction ^nn+nom+++=decoction
and ^cc++++=and
extract ^nn++++=extract,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
among ^in++++=among
the ^ati++++=the
different ^jj+atrb+++=different
concentrations ^nns+nom+++=concentrations
applied ^vwbn+++xvbn+=applied
to ^in++++=to
the ^ati++++=the
decoction ^nn+nom+++=decoction
and ^cc++++=and
extract ^nn++++=extract,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
one ^cd1++++=one-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
Anova ^np+++??+=ANOVA
and ^cc++++=and
repeated ^xvbn+++xvbn+=repeated
measures ^nns++++=measures
one ^cd1++++=one-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
Anova ^np+++??+=ANOVA,
, ^zz++++=EXTRAWORD
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
with ^in++++=with
Tukey ^np+++??+=Tukey
s ^zz++++=s
post ^nn++++=post
hoc ^jj"+atrb+++=hoc
test ^nn++++=test.
. ^zz++++=EXTRAWORD
Nonparametric ^np+++??+=Nonparametric
data ^nns++++=data
were ^vbd+bed+aux++=were
analyzed ^vpsv++agls+xvbnx+=analyzed
using ^vbg+++xvbg+=using
the ^ati++++=the
Kruskal ^np+++??+=Kruskal-Wallis
- ^zz++++=EXTRAWORD
wallis ^np++++=EXTRAWORD
and ^cc++++=and
Friedman ^np+nom++??+=Friedman
tests ^nns++++=tests.
. ^zz++++=EXTRAWORD
Statistical ^jj+atrb+++=Statistical
differences ^nns+nom+++=differences
in ^in++++=in
sensorial ^jj+atrb+++=sensorial
analysis ^nn++++=analysis
scores ^nns++++=scores
between ^in++++=between
groups ^nns++++=groups
were ^vbd+bed+aux++=were
determined ^vpsv++agls+xvbnx+=determined
using ^vbg+++xvbg+=using
the ^ati++++=the
Wilcoxon ^np+++??+=Wilcoxon
test ^nn++++=test.
. ^zz++++=EXTRAWORD
A ^at++++=A
p ^zz++++=p-value
- ^zz++++=EXTRAWORD
value ^nn++++=EXTRAWORD
of ^in++++=of
less ^ql++++=less
than ^cs+sub+++=than
0.05 ^nn++++=0.05
was ^vbd+bedz+aux++=was
considered ^vbd+vprv++xvbn+=considered
statistically ^rb++++=statistically
significant ^jj++++=significant.
. ^zz++++=EXTRAWORD
