Data ^nns++++=Data
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
a ^at++++=a
completely ^rb+amp+++=completely
randomized ^jj+atrb++xvbn+=randomized
design ^nn++++=design
in ^in++++=in
a ^at++++=a
2 ^zz++++=2
x ^zz++++=x
5 ^zz++++=5
factorial ^jj+atrb+++=factorial
arrangement ^nn+nom+++=arrangement,
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
types ^nns++++=types
of ^in++++=of
salts ^nns++++=salts
and ^cc++++=and
five ^cd++++=five
levels ^nns++++=levels
of ^in++++=of
salinity ^nn+nom+++=salinity.
. ^zz++++=EXTRAWORD
Percentage ^nn+nom+++=Percentage
data ^nns++++=data
were ^vbd+bed+aux++=were
transformed ^vpsv++agls+xvbnx+=transformed
using ^vbg+++xvbg+=using
the ^ati++++=the
arcsine ^nn+++??+=arcsine
square ^nn++++=square
root ^nn++++=root
method ^nn++++=method.
. ^zz++++=EXTRAWORD
All ^abn++++=All
data ^nns++++=data
were ^vbd+bed+aux++=were
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
analysis ^nn++++=analysis
of ^in++++=of
variance ^nn+nom+++=variance
( ^zz++++=(ANOVA).
anova ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
significant ^jj+atrb+++=significant
effects ^nns++++=effects
were ^vbd+bed+aux++=were
detected ^vpsv++agls+xvbnx+=detected,
, ^zz++++=EXTRAWORD
qualitative ^jj+atrb+++=qualitative
variables ^nns++++=variables
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
using ^vbg+++xvbg+=using
the ^ati++++=the
Scott ^np++++=Scott-Knott
- ^zz++++=EXTRAWORD
knott ^nn+++??+=EXTRAWORD
test ^nn++++=test
at ^rb++++=at
a ^at++++=a
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
significance ^nn+nom+++=significance
level ^nn++++=level,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
quantitative ^jj+atrb+++=quantitative
variables ^nns++++=variables
were ^vbd+bed+aux++=were
analyzed ^vpsv++by+xvbnx+=analyzed
by ^in++++=by
regression ^nn++++=regression
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
All ^abn++++=All
statistical ^jj+atrb+++=statistical
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbn+=performed
using ^vbg+++xvbg+=using
sisvar ^np++++=Sisvar
software ^nn++++=software
( ^zz++++=(Ferreira,
ferreira ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
