Worry ^vb+vprv+tht0++=Worry
levels ^nns++++=levels
were ^vbd+bed+aux++=were
measured ^vpsv++agls+xvbnx+=measured
using ^vbg+++xvbg+=using
the ^ati++++=the
Meta ^np+++??+=Meta-Worry
- ^zz++++=EXTRAWORD
worry ^vb+vprv+++=EXTRAWORD
Questionnaire ^nn++++=Questionnaire
( ^zz++++=(MWQ),
mwq ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
originally ^rb+tm+++=originally
developed ^vpsv++by+xvbn+=developed
by ^in++++=by
Wells ^np++++=Wells
( ^zz++++=(2005).
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Portuguese ^jj+atrb+++=Portuguese
version ^nn++++=version
of ^in++++=of
the ^ati++++=the
Mwq ^np+++??+=MWQ,
, ^zz++++=EXTRAWORD
adapted ^j+++xvbn+=adapted
and ^cc+phrs+++=and
validated ^jj+++xvbn+=validated
by ^in++++=by
Dinis ^np+++??+=Dinis
and ^cc++++=and
Gouveia ^np+++??+=Gouveia
( ^zz++++=(2011),
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
demonstrated ^j+++xvbn+=demonstrated
good ^jj+atrb+++=good
internal ^jj+atrb+++=internal
consistency ^nn++++=consistency
( ^zz++++=(
= ^zz++++==
0.89 ^nn+++??+=0.89).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Mwq ^np+++??+=MWQ
consists ^nns+nom+++=consists
of ^in++++=of
seven ^cd++++=seven
items ^nns++++=items
presented ^vwbn+++xvbn+=presented
as ^ql++++=as
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
each ^dt++++=each
assessed ^jj+++xvbn+=assessed
on ^in++++=on
two ^cd++++=two
separate ^jj+atrb+++=separate
scales ^nns++++=scales:
: ^zz++++=EXTRAWORD
one ^cd1++++=one
measuring ^nvbg+++xvbg+=measuring
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
metacognitions ^nns+nom+++=metacognitions
about ^in++++=about
worry ^vb+vprv+++=worry
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
assessing ^jj+++xvbg+=assessing
the ^ati++++=the
strength ^nn++++=strength
of ^in++++=of
related ^xvbn+++xvbn+=related
beliefs ^nns++++=beliefs.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
scale ^nn++++=scale
measuring ^vwbg+++xvbg+=measuring
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
worry ^nn++++=worry
was ^vbd+bedz+aux++=was
utilized ^vpsv++agls+xvbnx+=utilized
to ^to++++=to
enable ^vbi++++=enable
a ^at++++=a
brief ^jj+atrb+++=brief
mental ^jj+atrb+++=mental
health ^nn++++=health
screening ^vwbg+++xvbg+=screening
and ^cc++++=and
minimize ^vb++++=minimize
the ^ati++++=the
length ^nn++++=length
of ^in++++=of
the ^ati++++=the
assessment ^nn+nom+++=assessment.
. ^zz++++=EXTRAWORD
Responses ^nns++++=Responses
are ^vb+ber+aux++=are
recorded ^vpsv++agls+xvbnx+=recorded
on ^in++++=on
a ^at++++=a
4 ^zz++++=4-point
- ^zz++++=EXTRAWORD
point ^nn++++=EXTRAWORD
Likert ^np+++??+=Likert
scale ^nn++++=scale
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
never ^rb++++=never
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^in++++=to
always ^rb++++=always
( ^zz++++=(4).
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
total ^jj+atrb+++=total
score ^nn++++=score
is ^vbz+bez+aux++=is
calculated ^vpsv++by+xvbnx+=calculated
by ^in++++=by
summing ^xvbg+++xvbg+=summing
the ^ati++++=the
responses ^nns++++=responses
to ^in++++=to
all ^abn++++=all
items ^nns++++=items,
, ^zz++++=EXTRAWORD
with ^in++++=with
higher ^jjr+atrb+++=higher
scores ^nns++++=scores
indicating ^vwbg+vprv++xvbg+=indicating
a ^at++++=a
greater ^jjr+atrb+++=greater
frequency ^nn++++=frequency
of ^in++++=of
worry ^nn++++=worry
and ^cc++++=and
an ^at++++=an
increased ^jj+atrb++xvbn+=increased
likelihood ^nn+nom+++=likelihood
of ^in++++=of
dysfunctional ^nn++++=dysfunctional
worry ^vb+vprv+++=worry.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
current ^jj+atrb+++=current
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
the ^ati++++=the
instrument ^nn+nom+++=instrument
demonstrated ^vbd+vprv++xvbn+=demonstrated
high ^np++++=high
internal ^jj+atrb+++=internal
consistency ^nn++++=consistency
( ^zz++++=(Cronbach
cronbach ^nn++++=EXTRAWORD
s ^zz++++=s
alpha ^nn++++=alpha
[ ^zz++++=[
] ^zz++++=]
= ^zz++++==
0.90 ^nn++++=0.90).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
