Given ^vbd+++xvbn+=Given
the ^ati++++=the
heterogeneous ^jj+atrb+++=heterogeneous
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
causes ^nn++++=causes
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
list ^nn++++=list,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
that ^tht+vcmp+++=that
some ^dti++++=some
may ^md+pos+++=may
exhibit ^vb++++=exhibit
immediate ^jj+atrb+++=immediate
changes ^nns++++=changes
in ^in++++=in
response ^nn++++=response
to ^in++++=to
modifications ^nns+nom+++=modifications
in ^in++++=in
primary ^jj+atrb+++=primary
care ^nn++++=care
policy ^nn++++=policy,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
others ^aps++++=others
may ^md+pos+++=may
demonstrate ^nn+nom+++=demonstrate
more ^rbr++++=more
gradual ^jj+atrb+++=gradual
changes ^nns++++=changes.
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
two ^cd++++=two
types ^nns++++=types
of ^in++++=of
effects ^nns++++=effects
between ^in++++=between
trends ^nns++++=trends
were ^vbd+bed+aux++=were
assessed ^vpsv++agls+xvbnx+=assessed:
: ^zz++++=EXTRAWORD
differences ^nns+nom+++=differences
in ^in++++=in
the ^ati++++=the
slope ^nn++++=slope
of ^in++++=of
hospitalizations ^nns+nom+++=hospitalizations
between ^in++++=between
two ^cd++++=two
groups ^nns++++=groups
were ^vbd+bed+aux++=were
analyzed ^vpsv++agls+xvbnx+=analyzed
using ^vbg+++xvbg+=using
an ^at++++=an
interrupted ^jj+atrb++xvbn+=interrupted
time ^nn++++=time
series ^nn++++=series
approach ^nn++++=approach
to ^to++++=to
evaluate ^nn+nom+++=evaluate
the ^ati++++=the
ramp ^nn++++=ramp
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
changes ^nns++++=changes
in ^in++++=in
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
trends ^nns++++=trends
between ^in++++=between
groups ^nns++++=groups
were ^vbd+bed+aux++=were
examined ^vbd+++xvbn+=examined
to ^in++++=to
assess ^vb++++=assess
the ^ati++++=the
step ^nn++++=step
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
