At ^rb++++=At
the ^ati++++=the
species ^nn++++=species
level ^nn++++=level,
, ^zz++++=EXTRAWORD
four ^cd++++=four
Asteraceae ^np+++??+=Asteraceae
species ^nn++++=species
Centaurea ^np+++??+=Centaurea
calcitrapa ^nn+++??+=calcitrapa
L ^zz++++=L.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Centaurea ^np+++??+=Centaurea
solstitialis ^nns+++??+=solstitialis
L ^zz++++=L.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Gaillardia ^np+++??+=Gaillardia
megapotamica ^nn+++??+=megapotamica
( ^zz++++=(Spreng.)
spreng ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Baker ^np++++=Baker,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Gamochaeta ^np+++??+=Gamochaeta
filaginea ^nn+++??+=filaginea
( ^zz++++=(DC.)
dc ^&fo++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Cabrera ^np+++??+=Cabrera
are ^vb+ber+aux++=are
present ^vb++++=present
at ^rb++++=at
all ^abn++++=all
study ^nn++++=study
sites ^nns++++=sites
and ^cc++++=and
are ^vb+ber+aux++=are
typically ^rb++splt++=typically
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
highly ^rb+amp+++=highly
disturbed ^xvbn+++xvbn+=disturbed
environments ^nns+nom+++=environments.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Poaceae ^np+++??+=Poaceae
family ^nn++++=family
is ^vbz+bez+aux++=is
represented ^vpsv++by+xvbnx+=represented
by ^in++++=by
three ^cd++++=three
species ^nn++++=species
Bromus ^np+++??+=Bromus
catharticus ^nns+++??+=catharticus
Vahl ^np+++??+=Vahl.
. ^zz++++=EXTRAWORD
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
catharticus ^nns+++??+=catharticus,
, ^zz++++=EXTRAWORD
Hordeum ^np+++??+=Hordeum
murinum ^nn+++??+=murinum
L ^zz++++=L.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nassella ^np+++??+=Nassella
tenuis ^nns+++??+=tenuis
( ^zz++++=(Phil.)
phil ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Barkworth ^np+++??+=Barkworth
which ^whp+rel+subj++=which
constitute ^vb++++=constitute
the ^ati++++=the
primary ^jj+atrb+++=primary
forage ^nn++++=forage
plants ^nns++++=plants
in ^in++++=in
the ^ati++++=the
area ^nn++++=area.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
Brassicaceae ^np+++??+=Brassicaceae
species ^nn++++=species,
, ^zz++++=EXTRAWORD
Eruca ^np+++??+=Eruca
vesicaria ^nn+++??+=vesicaria
Mill ^nn++++=Mill.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sysimbrium ^np+++??+=Sysimbrium
irio ^nn+++??+=irio,
, ^zz++++=EXTRAWORD
both ^abx++++=both
of ^in++++=of
which ^whp+rel+pied++=which
are ^vb+ber+vrb++=are
exotic ^jj+pred+++=exotic
and ^cc++++=and
commonly ^rb++++=commonly
occur ^vb++++=occur
along ^rp++++=along
road ^npl++++=road
verges ^nns++++=verges
and ^cc++++=and
power ^nn++++=power
line ^nn++++=line
tracks ^nns++++=tracks,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
also ^rb++splt++=also
recorded ^vpsv++agls+xvbnx+=recorded.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
four ^cd++++=four
families ^nns++++=families
are ^vb+ber+aux++=are
each ^dt++++=each
represented ^vpsv++by+xvbn+=represented
by ^in++++=by
a ^at++++=a
single ^jj+atrb+++=single
species ^nns++++=species
across ^in+pl+++=across
all ^abn++++=all
sites ^nns++++=sites:
: ^zz++++=EXTRAWORD
Amsinckia ^np+++??+=Amsinckia
calycina ^nn+++??+=calycina
( ^zz++++=(Moris)
moris ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Chater ^np++++=Chater
( ^zz++++=(Boraginaceae),
boraginaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Stellaria ^np+++??+=Stellaria
media ^nns++++=media
( ^zz++++=(L.)
l ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Cirillo ^np+++??+=Cirillo
( ^zz++++=(Caryophyllaceae),
caryophyllaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
Pp ^nns++++=PP
and ^cc++++=and
Fe ^&fo++++=FE
is ^vbz+bez+aux++=is
found ^vpsv++agls+xvbnx+=found
beneath ^in+pl+++=beneath
shrubs ^nns++++=shrubs,
, ^zz++++=EXTRAWORD
Euphorbia ^np+++??+=Euphorbia
collina ^nn+++??+=collina
Phil ^np++++=Phil.
. ^zz++++=EXTRAWORD
( ^zz++++=(Euphorbiaceae),
euphorbiaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plantago ^np++++=Plantago
patagonica ^nn++++=patagonica
jacq ^np++++=Jacq.
. ^zz++++=EXTRAWORD
( ^zz++++=(Plantaginaceae).
plantaginaceae ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
