Regarding ^in++++=Regarding
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
proposed ^vwbn+++xvbn+=proposed
by ^in++++=by
Rizzi ^np+++??+=Rizzi
and ^cc++++=and
Bocci ^np+++??+=Bocci
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
highly ^rb+amp+++=highly
applicable ^jj+pred+++=applicable:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
both ^abx++++=both
root ^nn++++=root
and ^cc++++=and
embedded ^vbd+++xvbn+=embedded
interrogatives ^nns++++=interrogatives
are ^vb+ber+aux++=are
derived ^vpsv++agls+xvbnx+=derived
through ^in++++=through
wh ^nn+++??+=wh-movement;
- ^zz++++=EXTRAWORD
movement ^nn+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
root ^nn++++=root
interrogatives ^nns++++=interrogatives,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wh ^nn+++??+=wh-element
- ^zz++++=EXTRAWORD
element ^nn+nom+++=EXTRAWORD
is ^vbz+bez+aux++=is
focalized ^vpsv++agls+xvbnx+=focalized;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
embedded ^vbd+++xvbn+=embedded
interrogatives ^nns++++=interrogatives,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wh ^nn+++??+=wh-operator
- ^zz++++=EXTRAWORD
operator ^nn++++=EXTRAWORD
undergoes ^vbz++++=undergoes
raising ^jj+++xvbg+=raising
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
focalized ^jj++++=focalized
constituent ^jj++++=constituent.
. ^zz++++=EXTRAWORD
