With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
age ^nn++++=age,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
younger ^jjr+atrb+++=younger
individuals ^nns+nom+++=individuals
exhibited ^vbd+++xvbn+=exhibited
a ^at++++=a
higher ^jjr+atrb+++=higher
likelihood ^nn+nom+++=likelihood
of ^in++++=of
presenting ^xvbg+++xvbg+=presenting
symptoms ^nns++++=symptoms
across ^in+pl+++=across
all ^abn++++=all
measured ^jj+atrb++xvbn+=measured
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
In ^in++++=In
all ^rb++++=all
evaluated ^vbd+++xvbn+=evaluated
models ^nns++++=models,
, ^zz++++=EXTRAWORD
participants ^nns+nom+++=participants
aged ^jj++++=aged
24 ^cd++++=24
years ^nns++++=years
or ^cc++++=or
younger ^jjr++++=younger
demonstrated ^jj+atrb++xvbn+=demonstrated
greater ^jjr+atrb+++=greater
vulnerability ^nn+nom+++=vulnerability
to ^in++++=to
anxious ^jj+atrb+++=anxious
and ^cc+phrs+++=and/or
depressive ^jj+atrb+++=depressive
symptoms ^nns++++=symptoms
at ^in++++=at
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
data ^nns++++=data
collection ^nn+nom+++=collection.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
increased ^jj+atrb++xvbn+=increased
vulnerability ^nn+nom+++=vulnerability
among ^in++++=among
younger ^jjr+atrb+++=younger
individuals ^nns+nom+++=individuals
may ^md+pos+++=may
be ^vb+be+aux++=be
partially ^rb+down+splt++=partially
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
their ^pp$+pp3+++=their
generally ^rb+down+++=generally
lower ^jjr+atrb+++=lower
levels ^nns++++=levels
of ^in++++=of
experience ^nn+nom+++=experience
in ^in++++=in
managing ^xvbg+++xvbg+=managing
various ^jj+atrb+++=various
psychosocial ^jj+atrb+++=psychosocial
stressors ^nns++++=stressors
compared ^vbd+++xvbn+=compared
to ^in++++=to
older ^jjr+atrb+++=older
adults ^nns++++=adults,
, ^zz++++=EXTRAWORD
with ^in++++=with
some ^dti++++=some
of ^in++++=of
these ^dt+dem+++=these
stressors ^nns++++=stressors
being ^xvbg+++xvbg+=being
exacerbated ^xvbn+++xvbn+=exacerbated
during ^in++++=during
the ^ati++++=the
current ^jj++++=current
pandemic ^jj++++=pandemic.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
younger ^jjr+atrb+++=younger
individuals ^nns+nom+++=individuals
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
at ^rb++++=at
the ^ati++++=the
early ^jj+atrb+++=early
stages ^nns++++=stages
of ^in++++=of
their ^pp$+pp3+++=their
professional ^jj+atrb+++=professional
careers ^nns+nom+++=careers
and ^cc++++=and
may ^md+pos+++=may
not ^xnot++not++=not
yet ^rb++++=yet
have ^vb+hv+aux++=have
achieved ^vprf+++xvbnx+=achieved
financial ^jj+atrb+++=financial
stability ^nn+nom+++=stability,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
increases ^vbz++++=increases
the ^ati++++=the
probability ^nn+nom+++=probability
of ^in++++=of
lacking ^xvbg+++xvbg+=lacking
a ^at++++=a
steady ^jj+atrb+++=steady
or ^cc+phrs+++=or
regular ^jj+atrb+++=regular
income ^nn++++=income
( ^zz++++=(Huang
huang ^nn+++??+=EXTRAWORD
& ^zz++++=&
Zhao ^np+++??+=Zhao,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Liu ^np+++??+=Liu,
, ^zz++++=EXTRAWORD
Zhang ^np+++??+=Zhang,
, ^zz++++=EXTRAWORD
Wong ^np+++??+=Wong,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Hyum ^np+++??+=Hyum,
