By ^in++++=By
2010 ^cd++++=2010,
, ^zz++++=EXTRAWORD
the ^ati++++=the
adoption ^nn+nom+++=adoption
of ^in++++=of
the ^ati++++=the
Enem ^np+++??+=ENEM
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
admission ^nn++++=admission
criterion ^nn++++=criterion
by ^in++++=by
most ^ql+emph+++=most
public ^jj+atrb+++=public
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education
institutions ^nns+nom+++=institutions
( ^zz++++=(HEIs)
heis ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
significantly ^rb++++=significantly
increased ^vbd+++xvbn+=increased
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
eligible ^jj+atrb+++=eligible
applicants ^nns+nom+++=applicants
to ^in++++=to
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education
in ^in++++=in
Brazil ^np++++=Brazil
( ^zz++++=(Ministry
ministry ^nn++++=EXTRAWORD
of ^in++++=of
Education ^nn+nom+++=Education
of ^in++++=of
Brazil ^np++++=Brazil
2018a ^cd++++=2018a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^to++++=To
promote ^vbi++++=promote
broader ^jjr+atrb+++=broader
access ^nn++++=access
and ^cc++++=and
standardize ^vb++++=standardize
the ^ati++++=the
university ^nn+nom+++=university
admission ^nn++++=admission
process ^nns+nom+++=process,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Education ^nn+nom+++=Education
developed ^vbd+++xvbn+=developed
the ^ati++++=the
Unified ^jj+atrb++xvbn+=Unified
Selection ^nn+nom+++=Selection
System ^nn++++=System
( ^zz++++=(SISU),
sisu ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
implemented ^vbd+++xvbn+=implemented
unified ^jj+atrb++xvbn+=unified
application ^nn+nom+++=application
criteria ^nns++++=criteria
across ^in+pl+++=across
all ^abn++++=all
public ^jj+atrb+++=public
Heis ^np+++??+=HEIs
and ^cc++++=and
extended ^vbd+++xvbn+=extended
the ^ati++++=the
assurance ^nn+nom+++=assurance
of ^in++++=of
equal ^jj+atrb+++=equal
opportunity ^nn+nom+++=opportunity
at ^in++++=at
the ^ati++++=the
national ^jj+atrb+++=national
level ^nn++++=level
( ^zz++++=(Ministry
ministry ^nn++++=EXTRAWORD
of ^in++++=of
Education ^nn+nom+++=Education
of ^in++++=of
Brazil ^np++++=Brazil
2020a ^cd++++=2020a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Through ^in++++=Through
Sisu ^np+++??+=SISU,
, ^zz++++=EXTRAWORD
candidates ^nns+nom+++=candidates
may ^md+pos+++=may
apply ^vb++++=apply
to ^in++++=to
public ^jj+atrb+++=public
Heis ^np+++??+=HEIs,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
for ^in++++=for
private ^jj+atrb+++=private
Heis ^np+++??+=HEIs,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
can ^md+pos+++=can
simultaneously ^rb+tm+splt++=simultaneously
apply ^vb++++=apply
for ^in++++=for
financial ^jj+atrb+++=financial
support ^nn++++=support
through ^in++++=through
programs ^nns+++??+=programs
such ^abl++++=such
as ^ql++++=as
Prouni ^np+++??+=ProUni
and ^cc++++=and
Fies ^np+++??+=FIES.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
2009 ^cd++++=2009
and ^cc++++=and
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
the ^ati++++=the
combined ^jj+atrb++xvbn+=combined
implementation ^nn+nom+++=implementation
of ^in++++=of
Sisu ^np+++??+=SISU,
, ^zz++++=EXTRAWORD
Fies ^np+++??+=FIES,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Prouni ^np+++??+=ProUni
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
an ^at++++=an
increase ^nn++++=increase
of ^in++++=of
approximately ^rb+down+++=approximately
two ^cd++++=two
million ^cd++++=million
enrolments ^nns+nom+++=enrolments
in ^in++++=in
both ^abx++++=both
public ^jj+atrb+++=public
and ^cc+phrs+++=and
private ^jj+atrb+++=private
heis ^np++++=HEIs.
. ^zz++++=EXTRAWORD
