Intestinal ^np+nom++??+=Intestinal
parasitic ^jj+atrb+++=parasitic
infections ^nns+nom+++=infections
are ^vb+ber+vrb++=are
prevalent ^jj+pred+++=prevalent
in ^in++++=in
developing ^xvbg+++xvbg+=developing
countries ^nns++++=countries
and ^cc++++=and
are ^vb+ber+aux++=are
classified ^vpsv++by+xvbnx+=classified
by ^in++++=by
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn+nom+++=Organization
 ^zz++++=(WHO)
Who ^whp+np+++=EXTRAWORD
	 ^zz++++=EXTRAWORD
As ^in++++=as
Neglected ^vpsv++agls+xvbn+=neglected
Tropical ^jj+atrb+++=tropical
Diseases ^nns++++=diseases.
 ^zz++++=EXTRAWORD
