A ^at++++=A
careful ^jj+atrb+++=careful
analysis ^nn++++=analysis
of ^in++++=of
( ^zz++++=(15)
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(16)
16 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
represent ^vb++++=represent
distinct ^jj+atrb+++=distinct
syntactic ^jj+atrb+++=syntactic
structures ^nns++++=structures,
, ^zz++++=EXTRAWORD
as ^in++++=as
evidenced ^nn++++=evidenced
by ^in++++=by
their ^pp$+pp3+++=their
differing ^jj+atrb++xvbg+=differing
syntactic ^jj+atrb+++=syntactic
behaviors ^nns++++=behaviors.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
anchor ^nn++++=anchor
element ^nn+nom+++=element
can ^md+pos+++=can
be ^vb+be+aux++=be
elided ^vpsv++agls+xvbnx+=elided
in ^in++++=in
( ^zz++++=(15)
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
but ^cc++++=but
not ^xnot++not++=not
in ^in++++=in
( ^zz++++=(16),
16 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
by ^in++++=by
the ^ati++++=the
examples ^nns++++=examples
in ^in++++=in
( ^zz++++=(17)
17 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(18)
18 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
below ^rb++++=below.
. ^zz++++=EXTRAWORD
