Studies ^nns++++=Studies
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
femicides ^nns+++??+=femicides
in ^in++++=in
Brazilian ^jj+atrb+++=Brazilian
capitals ^nns+nom+++=capitals
and ^cc++++=and
large ^jj+atrb+++=large
cities ^nns++++=cities
during ^in++++=during
the ^ati++++=the
three ^cd++++=three-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
periods ^nns++++=periods
of ^in++++=of
2007 ^cd++++=2007
2009 ^cd++++=2009
and ^cc++++=and
2011 ^cd++++=2011
2013 ^cd++++=2013,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
among ^in++++=among
young ^jj++++=young,
, ^zz++++=EXTRAWORD
economically ^rb++++=economically
disadvantaged ^jj+++xvbn+=disadvantaged,
, ^zz++++=EXTRAWORD
Black ^jj++++=Black,
, ^zz++++=EXTRAWORD
single ^jj++++=single,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
low ^jj++++=low-educated
- ^zz++++=EXTRAWORD
educated ^xvbn+++xvbn+=EXTRAWORD
women ^nns++++=women.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
research ^nn++++=research
has ^vbz+hvz+aux++=has
identified ^vprf+++xvbnx+=identified
a ^at++++=a
positive ^jj+atrb+++=positive
association ^nn+nom+++=association
between ^in++++=between
poverty ^nn++++=poverty
and ^cc++++=and
female ^jj+atrb+++=female
homicide ^nn++++=homicide
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
women ^nns++++=women
living ^vwbg+++xvbg+=living
in ^in++++=in
poverty ^nn++++=poverty
are ^vb+ber+aux++=are
disproportionately ^rb++splt++=disproportionately
affected ^vpsv++agls+xvbnx+=affected.
. ^zz++++=EXTRAWORD
The ^ati++++=The
circumstances ^nns+nom+++=circumstances
surrounding ^vwbg+++xvbg+=surrounding
women ^nns++++=women's
's ^$++++=EXTRAWORD
homicides ^nns+++??+=homicides
are ^vb+ber+aux++=are
varied ^vpsv++agls+xvbnx+=varied
and ^cc++++=and
are ^vb+ber+aux++=are
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
distinct ^jj+atrb+++=distinct
social ^jj+atrb+++=social
dynamics ^nn++++=dynamics
and ^cc++++=and
characteristics ^nns++++=characteristics
specific ^jj++++=specific
to ^in++++=to
each ^dt++++=each
geographic ^jj+atrb+++=geographic
context ^nn++++=context,
, ^zz++++=EXTRAWORD
with ^in++++=with
gender ^nn++++=gender
consistently ^rb++++=consistently
serving ^vbg+++xvbg+=serving
as ^ql++++=as
a ^at++++=a
significant ^jj+atrb+++=significant
factor ^nn++++=factor.
. ^zz++++=EXTRAWORD
