Femicide ^np+++??+=Femicide
is ^vbz+bez+aux++=is
fundamentally ^rb++splt++=fundamentally
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
gender ^nn++++=gender
inequality ^nn+nom+++=inequality
and ^cc++++=and
reinforces ^vbz++++=reinforces
the ^ati++++=the
subordinate ^jj+atrb+++=subordinate
status ^nn++++=status
of ^in++++=of
women ^nns++++=women
within ^in++++=within
legal ^jj++++=legal,
, ^zz++++=EXTRAWORD
social ^jj++++=social,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
economic ^jj+atrb+++=economic
spheres ^nns++++=spheres.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
a ^at++++=a
significant ^jj+atrb+++=significant
public ^jj+atrb+++=public
health ^nn++++=health
issue ^nn++++=issue,
, ^zz++++=EXTRAWORD
as ^in++++=as
identified ^nn++++=identified
by ^in++++=by
the ^ati++++=the
world ^nn++++=World
health ^nn++++=Health
organization ^nn+nom+++=Organization
more ^rbr++++=more
than ^in++++=than
30 ^cd++++=30
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
