Governance ^np+nom++??+=Governance
can ^md+pos+++=can
be ^vb+be+aux++=be
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
dimensions ^nns++++=dimensions
that ^tht+rel+obj++=that
encompass ^nns+++??+=encompass
mechanisms ^nns+nom+++=mechanisms
of ^in++++=of
incentive ^nn++++=incentive
and ^cc++++=and
control ^vb++++=control
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
mitigate ^nn+nom+++=mitigate
the ^ati++++=the
agency ^nn++++=agency
problem ^nn++++=problem
inherent ^jj++++=inherent
in ^in++++=in
the ^ati++++=the
contractual ^jj+atrb+++=contractual
relationship ^nn+nom+++=relationship
between ^in++++=between
principal ^jjb++++=principal
and ^cc++++=and
agent ^nn++++=agent,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
reducing ^jj+atrb++xvbg+=reducing
agency ^nn++++=agency
costs ^nns++++=costs
( ^zz++++=(Jensen
jensen ^vb++++=EXTRAWORD
and ^cc++++=and
meckling ^np+nom+++=Meckling,
, ^zz++++=EXTRAWORD
1976 ^cd+date+++=1976).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
