I ^pp1a+pp1+++=I
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
thank ^vbi++++=thank
Atty ^np+++??+=Atty.
. ^zz++++=EXTRAWORD
H ^zz++++=H
lya ^nn+++??+=lya
G ^zz++++=G
lbahar ^nn+++??+=lbahar
and ^cc++++=and
Fidan ^np+++??+=Fidan
Ataselim ^np+++??+=Ataselim
from ^in++++=from
the ^ati++++=the
We ^pp1a+pp1+++=We
Will ^md+prd+++=Will
Stop ^vb++++=Stop
Femicide ^np+++??+=Femicide
Platform ^nn++++=Platform
for ^in++++=for
their ^pp$+pp3+++=their
contributions ^nns+nom+++=contributions
to ^in++++=to
data ^nns++++=data
collection ^nn+nom+++=collection,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
Assoc ^np+++??+=Assoc.
. ^zz++++=EXTRAWORD
Prof ^npt++++=Prof.
. ^zz++++=EXTRAWORD
Aycan ^np+++??+=Aycan
Hepsa ^np+++??+=Hepsa
, ^zz++++=,
Deputy ^nn++++=Deputy
Head ^jjb++++=Head
of ^in++++=of
the ^ati++++=the
Econometrics ^np+++??+=Econometrics
Department ^nn+nom+++=Department
at ^in++++=at
Istanbul ^np++++=Istanbul
University ^nn+nom+++=University,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
support ^nn++++=support
in ^in++++=in
enhancing ^vbg+++xvbg+=enhancing
my ^pp$+pp1+++=my
knowledge ^nn++++=knowledge
of ^in++++=of
advanced ^jj+atrb+++=advanced
econometric ^jj+atrb+++=econometric
analysis ^nn++++=analysis
techniques ^nns++++=techniques.
. ^zz++++=EXTRAWORD
